CONST.,TYPE,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG,MAX SZ,MIN SZ,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number
CAS,GAL,NGC278,UGC 528         ,00 52.1,+47 33,10.8,2.4,2.4,NGC,,,,,
CAS,N+CL,NGC281,"IC  11, PacMan Nebula w/OC IC1590""  ",00 53.0,+56 37,7.4,4.0,4.0,NGC,,,,,
CAS,OC,NGC381,OCL  317          ,01 08.3,+61 35,9.3,7.0,7.0,NGC,,,,,
CAS,OC,NGC436,OCL  320          ,01 16.0,+58 49,8.8,5.0,5.0,NGC,,,,,
CAS,OC,NGC457,OWL Cluster/ET Cluster,01 19.5,+58 17,6.4,20.0,20.0,NGC,,,,,
CAS,OC,NGC581,M103,01 33.4,+60 39,7.4,6.0,6.0,NGC,,,,,
CAS,OC,Trumpler1,Collinder  15            ,01 35.7,+61 17,8.1,3.0,3.0,Trumpler,1,Trumpler 1,,,1
CAS,OC,NGC637,OCL  329          ,01 43.1,+64 02,8.2,3.0,3.0,NGC,,,,,
CAS,OC,NGC654,FUZZY BUTTERFLY,01 44.0,+61 53,6.5,6.0,6.0,NGC,,,,,
CAS,OC,NGC659,OCL  332          ,01 44.4,+60 40,7.9,6.0,6.0,NGC,,,,,
CAS,OC,NGC663,OCL  333/Lawnmower cluster       ,01 46.3,+61 13,7.1,15.0,15.0,NGC,,,,,
CAS,OC,NGC743,OCL  343          ,01 58.5,+60 10,9.5,7.0,7.0,NGC,,,,,
CAS,N+CL,IC1805,The Heart Nebula/The Running Dog Nebula/Valentine Nebula,02 32.7,+61 27,6.5,20.0,20.0,IC,1805,IC 1805,IC 1805,,1805
CAS,OC,NGC7654,M52 THE SCORPION CLUSTER,23 24.9,+61 36,6.9,16.0,16.0,NGC,,,,,
CAS,OC,NGC7789,Ghost cluster/Star Mist cluster/Caroline's cluster,23 57.5,+56 43,6.7,25.0,25.0,NGC,,,,,
CAS,OC,NGC7790,THE WIDOW'S WEB CLUSTER,23 58.4,+61 13,8.5,5.0,5.0,NGC,,,,,
CEN,GAL,NGC5102,IOTA'S GHOST,13 22.0,-36 38,9.3,8.3,3.5,NGC,,,,,
CEP,PN,NGC40,"Bow Tie Nebula, The Scarab Nebula",00 13.0,+72 31,10.7,1.0,0.67,NGC,,,,,
CEP,OC,NGC188,POLARISSIMA CLUSTER,00 47.5,+85 14,8.1,15.0,15.0,NGC,,,,,
CEP,OC,NGC6939,GHOST BUSH CLUSTER/FLYING GEESE CLUSTER,20 31.5,+60 40,7.8,10.0,10.0,NGC,,,,,
CEP,GAL,NGC6946,"UGC 11597(actually in Cygnus, but forms pair with 6939)""  ",20 34.9,+60 09,8.8,11.2,9.8,NGC,,,,,
CEP,OC,NGC7160,THE BRUCE LEE CLUSTER,21 53.7,+62 36,6.1,5.0,5.0,NGC,,,,,
CEP,OC,Berkeley94,                  ,22 22.9,+55 53,8.7,3.0,3.0,Berkeley,94,Berkeley 94,,,94
CEP,OC,NGC7380,OCL  244          ,22 47.4,+58 08,7.2,20.0,20.0,NGC,,,,,
CEP,OC,King10,                  ,22 55.0,+59 10,?,4.0,4.0,King,10,King 10,,,10
CEP,OC,NGC7423,Berkeley   57          ,22 55.1,+57 06,15,5.0,5.0,NGC,,,,,
CEP,OC,NGC7510,THE DORMOUSE CLUSTER/The Arrowhead cluster,23 11.1,+60 34,7.9,7.0,7.0,NGC,,,,,
CEP,OC,NGC7762,OCL  280          ,23 49.9,+68 01,10,15.0,15.0,NGC,,,,,
CET,GAL,NGC157,MCG - 2- 2- 56    ,00 34.8,-08 24,10.4,4.1,2.7,NGC,,,,,
CET,PN,NGC246,SKULL NEBULA/The Soap Bubble Nebula/VOODOO MASK,00 47.1,-11 52,8.5,4.0,3.5,NGC,,,,,
CET,GAL,NGC247,ESO 540-22        ,00 47.1,-20 46,9.1,21.0,5.6,NGC,,,,,
CET,GAL,NGC578,ESO 476-15        ,01 30.5,-22 40,10.9,4.8,3.0,NGC,,,,,
CET,GAL,NGC584,LITTLE SPINDLE GALAXY,01 31.3,-06 52,10.4,3.8,2.4,NGC,,,,,
CET,GAL,NGC864,UGC 1736         ,02 15.5,+06 00,10.9,4.7,3.2,NGC,,,,,
CET,GAL,NGC908,ESO 545-11        ,02 23.1,-21 14,10.2,6.1,2.7,NGC,,,,,
CET,GAL,NGC955,UGC 1986         ,02 30.6,-01 07,12,2.9,0.9,NGC,,,,,
CET,GAL,NGC1068,M77,02 42.7,-00 01,8.9,7.3,6.3,NGC,,,,,
CET,GAL,NGC1087,UGC 2245         ,02 46.4,-00 30,10.9,3.9,2.3,NGC,,,,,
CMA,OC,NGC2204,OCL  572          ,06 15.5,-18 40,8.6,10.0,10.0,NGC,,,,,
CMA,GAL,NGC2207,ESO 556- 8        ,06 16.4,-21 22,10.8,4.2,2.6,NGC,,,,,
CMA,GAL,IC2163,colliding w/2207,06 16.5,-21 23,11.6,3.0,1.2,IC,2163,IC 2163,IC 2163,,2163
CMA,GAL,NGC2217,ESO 489-42        ,06 21.7,-27 14,10.7,4.7,4.3,NGC,,,,,
CMA,OC,NGC2287,M41 LITTLE BEEHIVE CLUSTER,06 46.1,-20 46,4.5,39.0,39.0,NGC,,,,,
CMA,OC,NGC2345,OCL  575          ,07 08.3,-13 12,7.7,12.0,12.0,NGC,,,,,
CMA,OC,NGC2354,OCL  639          ,07 14.3,-25 42,6.5,18.0,18.0,NGC,,,,,
CMA,OC,NGC2360,OCL  589          ,07 17.7,-15 38,7.2,14.0,14.0,NGC,,,,,
CMA,BN,NGC2359,"LBN 1041/Thor's Helmet, The Whistle, IC468,DUCK NEB,WHISTLE NEB,HEAD & SHOULDERS NEB.",07 18.5,-13 14,10,13.0,11.0,NGC,,,,,
CMA,OC,NGC2362,"Mexican Jumping Star Cluster/PIRATE'S JEWELS,NORTHERN JEWEL BOX,ARKENSTONE,",07 18.7,-24 57,3.8,6.0,6.0,NGC,,,,,
