CONST.,TYPE,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG,MAX SZ,MIN SZ,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number
LAC,OC,NGC7209,THE STAR LIZARD CLUSTER/drunken lizard cluster,22 05.1,+46 29,7.7,15.0,15.0,NGC,,,,,
LAC,OC,IC1434,Collinder 445            ,22 10.5,+52 50,9,7.0,7.0,IC,1434,IC 1434,IC 1434,,1434
LAC,OC,NGC7243,OCL  221          ,22 15.1,+49 54,6.4,30.0,30.0,NGC,,,,,
LAC,OC,NGC7245,OCL  225          ,22 15.3,+54 20,9.2,5.0,5.0,NGC,,,,,
LEO,GAL,NGC2903,UGC 5079         ,09 32.2,+21 30,9,12.0,5.6,NGC,,,,,
LEO,GAL,NGC3226,UGC 5617         ,10 23.4,+19 54,11.4,2.5,2.2,NGC,,,,,
LEO,GAL,NGC3227,UGC 5620         ,10 23.5,+19 52,10.3,6.6,5.0,NGC,,,,,
LEO,GAL,NGC3351,M95,10 44.0,+11 42,9.7,7.3,4.4,NGC,,,,,
LEO,GAL,NGC3368,M96,10 46.8,+11 49,9.3,7.8,5.2,NGC,,,,,
LEO,GAL,NGC3379,M105,10 47.8,+12 35,9.3,5.3,4.8,NGC,,,,,
LEO,GAL,NGC3384,3371,10 48.3,+12 38,9.9,5.4,2.7,NGC,,,,,
LEO,GAL,NGC3373,3389,10 48.5,+12 32,12.5p,2.9,1.3,NGC,,,,,
LEO,GAL,NGC3507,UGC 6123         ,11 03.4,+18 08,10.9,3.4,2.9,NGC,,,,,
LEO,GAL,NGC3521,UGC 6150         ,11 05.8,-00 02,9,11.2,5.4,NGC,,,,,
LEO,GAL,NGC3623,M65/The Trio in Leo,11 18.9,+13 05,9.3,9.0,2.3,NGC,,,,,
LEO,GAL,NGC3627,M66/The Trio in Leo,11 20.2,+13 00,8.9,9.1,4.1,NGC,,,,,
LEO,GAL,NGC3628,"KING HAMLET'S GHOST/The Trio in Leo,HOTDOG GAL",11 20.3,+13 35,9.5,13.1,3.1,NGC,,,,,
LEP,GC,NGC1904,M79,05 24.2,-24 31,7.7,9.6,9.6,NGC,,,,,
LEP,PN,IC418,"SPIROGRAPH NEBULA, RASPBERRY NEBULA",05 27.5,-12 42,10.7,0.23,0.18,IC,418,IC 418,IC 418,,418
LEP,GAL,NGC1964,ESO 554-10        ,05 33.4,-21 57,10.8,5.5,2.1,NGC,,,,,
LIB,GC,NGC5897,GHOST GLOBULAR,15 17.4,-21 01,8.5,12.6,12.6,NGC,,,,,
LMI,GAL,NGC3003,UGC 5251         ,09 48.6,+33 25,11.9,5.7,1.4,NGC,,,,,
LMI,GAL,NGC3344,SLICED ONION GALAXY,10 43.5,+24 55,9.9,7.1,6.8,NGC,,,,,
LMI,GAL,NGC3432,THE KNITTING NEEDLE GALAXY,10 52.5,+36 37,11.3,6.6,1.6,NGC,,,,,
LUP,GC,NGC5986,Dunlop 552        ,15 46.1,-37 47,7.6,9.6,9.6,NGC,,,,,
LYN,GC,NGC2419,THE INTERGALACTIC WANDERER         ,07 38.1,+38 53,10.3,4.6,4.6,NGC,,,,,
LYN,GAL,NGC2537,Bear Paw Galaxy,08 13.2,+45 59,11.7,3.1,2.7,NGC,,,,,
LYN,GAL,NGC2683,UFO GALAXY,08 52.7,+33 25,9.8,8.8,2.5,NGC,,,,,
LYR,PN,NGC6720,M57 RING NEBULA,18 53.6,+33 02,9.4,1.43,1.03,NGC,,,,,
LYR,GC,NGC6779,M56,19 16.6,+30 11,8.4,8.8,8.8,NGC,,,,,
LYR,OC,NGC6791,OCL  142          ,19 20.9,+37 46,9.5,10.0,10.0,NGC,,,,,
MON,OC,NGC2225,2226=ctr of cluster,06 26.6,-09 38,14.0p,1.5,1.5,NGC,,,,,
MON,OC,NGC2236,OCL  501          ,06 29.7,+06 50,8.5,8.0,8.0,NGC,,,,,
MON,BN,NGC2237/2238/2239/2246,The Rosette Nebula,06 31.9,+04 57,5.5,80.0,60.0,NGC,,,,,
MON,OC,NGC2244 CLUSTER IN ROS.,cluster in the Rosette,06 32.3,+04 51,4.8,30.0,30.0,NGC,,,,,
MON,OC,NGC2251,OCL  499          ,06 34.6,+08 22,7.3,10.0,10.0,NGC,,,,,
MON,OC,NGC2254,OCL  500          ,06 35.8,+07 40,9.1,6.0,6.0,NGC,,,,,
MON,OC,NGC2259,OCL  492          ,06 38.6,+10 53,10.8,3.5,3.5,NGC,,,,,
MON,BN,NGC2261,HUBBLE'S VARIABLE NEBULA,06 39.2,+08 45,?,2.0,1.0,NGC,,,,,
MON,N+CL,NGC2264,CHRISTMAS TREE CLUSTER/CONE NEBULA,06 41.0,+09 54,4.1,40.0,40.0,NGC,,,,,
MON,OC,NGC2269,"OCL  524,Z95,HEAD HUNTER,STARFIGHTER""        ",06 43.3,+04 37,10,3.0,3.0,NGC,,,,,
MON,OC,NGC2286,OCL  548          ,06 47.7,-03 09,7.5,15.0,15.0,NGC,,,,,
MON,OC,NGC2301,HAGRID'S DRAGON,06 51.8,+00 28,6,15.0,15.0,NGC,,,,,
MON,OC,NGC2309,OCL  557          ,06 56.1,-07 10,10.5,5.0,5.0,NGC,,,,,
MON,BN,NGC2316,2317,06 59.7,-07 47,?,4.0,4.0,NGC,,,,,
MON,OC,NGC2323,M50/Heart-Shaped Cluster,07 02.8,-08 23,5.9,15.0,15.0,NGC,,,,,
MON,OC,NGC2353,AVERY'S ISLAND,07 14.5,-10 16,7.1,18.0,18.0,NGC,,,,,
MON,OC,NGC2506,OCL  593          ,08 00.0,-10 46,7.6,12.0,12.0,NGC,,,,,
OPH,GC,NGC6171,"M107, THE CRUCIFIX CLUSTER",16 32.5,-13 03,7.8,13.0,13.0,NGC,,,,,
OPH,GC,NGC6218,M12,16 47.2,-01 57,6.1,16.0,16.0,NGC,,,,,
OPH,GC,NGC6254,M10,16 57.1,-04 06,6.6,20.0,20.0,NGC,,,,,
OPH,GC,NGC6266,M62 FLICKERING GLOBULAR,17 01.2,-30 07,6.4,15.0,15.0,NGC,,,,,
OPH,GC,NGC6273,M19,17 02.6,-26 16,6.8,17.0,17.0,NGC,,,,,
OPH,GC,NGC6284,GCL  53           ,17 04.5,-24 46,8.9,6.2,6.2,NGC,,,,,
OPH,PN,NGC6309,"The Box Nebula, THE SHOEPRINT NEB.,the exclamation mark!",17 14.1,-12 55,11.6,0.33,0.17,NGC,,,,,
OPH,GC,NGC6316,GCL  57           ,17 16.6,-28 08,8.1,5.4,5.4,NGC,,,,,
OPH,GC,NGC6333,M9,17 19.2,-18 31,7.8,12.0,12.0,NGC,,,,,
OPH,GC,NGC6356,GCL  62           ,17 23.6,-17 49,8.2,10.0,10.0,NGC,,,,,
OPH,PN,NGC6369,LITTLE GHOST NEBULA,17 29.3,-23 46,11,0.5,0.48,NGC,,,,,
OPH,GC,NGC6402,M14,17 37.6,-03 15,7.6,11.0,11.0,NGC,,,,,
OPH,OC,IC4665,Poseidon'd Trident,17 46.2,+05 43,4.2,70.0,70.0,IC,4665,IC 4665,IC 4665,,4665
OPH,PN,NGC6572,"EMERALD EYE PLANETARY, BLUE RACQUETBALL",18 12.1,+06 51,8,0.25,0.2,NGC,,,,,
OPH,OC,NGC6633,,18 27.2,+06 30,4.6,20.0,20.0,NGC,,,,,
ORI,BN,NGC1973/1975(NEBULA),MERMAID'S PURSE NEBULA/RUNNING MAN NEBULA,05 35.1,-04 44,7,10.0,10.0,NGC,,,,,
ORI,OC,NGC1981,COAL CAR CLUSTER-JUST N. OF 1973/5/7,05 35.2,-04 26,4.2,28.0,28.0,NGC,,,,,
ORI,N+CL,NGC1976,M42 ORION NEBULA,05 35.3,-05 23,4,47.0,60.0,NGC,,,,,
ORI,N+CL,NGC1977(CLUSTER),CLUSTER IN NGC1973/1975,05 35.3,-04 49,7,20.0,10.0,NGC,,,,,
ORI,N+CL,NGC1980,The Lost Jewel of Orion=CLUSTER WITH NEBULA       ,05 35.4,-05 55,2.5,15.0,14.0,NGC,,,,,
ORI,BN,NGC1982,M43/De Mairan's Nebula,05 35.5,-05 16,9,20.0,15.0,NGC,,,,,
ORI,BN,NGC1999,"13TH PEARL NEBULA, BLACK EYE NEBULA",05 36.5,-06 42,9.2,2.0,2.0,NGC,,,,,
ORI,BN,NGC2024,LIPS NEBULA/FLAME NEBULA/MAPLE LEAF NEB./TANK NEB.,05 41.7,-01 51,?,30.0,22.0,NGC,,,,,
ORI,PN,NGC2022,"KISSING CRESCENTS NEBULA, ORION'S COLLARBONE NEB.",05 42.1,+09 05,11.6,0.45,0.45,NGC,,,,,
ORI,BN,NGC2068,M78 CASPER THE FRIENDLY GHOST,05 46.8,+00 05,8,8.0,6.0,NGC,,,,,
ORI,OC,NGC2141,OCL  487          ,06 02.9,+10 27,9.4,10.0,10.0,NGC,,,,,
ORI,OC,NGC2169,"SHOPPING CART CLUSTER/""37"" Cluster",06 08.4,+13 58,5.9,6.0,6.0,NGC,,,,,
ORI,OC,NGC2194,OCL  495          ,06 13.8,+12 48,8.5,9.0,9.0,NGC,,,,,
PEG,GAL,NGC7814,"UGC 8 THE LITTLE SOMBRERO, ELECTRIC ARC GAL.",00 03.2,+16 09,11,5.5,2.3,NGC,,,,,
PEG,GC,NGC7078,M15 PEGASUS CLUSTER,21 30.0,+12 10,6.3,18.0,18.0,NGC,,,,,
PEG,GAL,NGC7331,UGC 12113(Deer Lick Group with the companions)      ,22 37.1,+34 25,9.5,10.2,4.2,NGC,,,,,
PEG,GAL,NGC7479,"UGC 12343, Superman Galaxy",23 04.9,+12 19,10.9,4.0,3.1,NGC,,,,,
PER,PN,NGC650/651,"M76 LITTLE DUMBBELL, the Barbell, The Cork""          ",01 42.3,+51 35,11,2.7,1.78,NGC,,,,,
PER,OC,NGC869,PERSEUS DOUBLE CLUSTER,02 19.1,+57 08,5.3,18.0,18.0,NGC,,,,,
PER,OC,NGC884,PERSEUS DOUBLE CLUSTER,02 22.1,+57 08,6.1,18.0,18.0,NGC,,,,,
PER,GAL,NGC1003,UGC 2137         ,02 39.3,+40 52,11.4,5.7,2.2,NGC,,,,,
PER,GAL,NGC1023,"UGC 2154, PERSEUS LENTICULAR""       ",02 40.4,+39 04,9.4,8.1,3.4,NGC,,,,,
PER,OC,NGC1039,M34,02 42.1,+42 45,5.2,25.0,25.0,NGC,,,,,
PER,GAL,NGC1160,UGC 2475         ,03 01.2,+44 57,12.8,1.9,0.9,NGC,,,,,
PER,OC,NGC1245,PATRICK STARFISH,03 14.7,+47 14,8.4,10.0,10.0,NGC,,,,,
PER,BN,NGC1333,EMBRYO NEBULA,03 29.3,+31 25,5.7,6.0,3.0,NGC,,,,,
PER,OC,NGC1342,STINGRAY CLUSTER,03 31.7,+37 22,6.7,17.0,17.0,NGC,,,,,
PER,OC,NGC1444,OCL  394          ,03 49.4,+52 39,6.6,4.0,4.0,NGC,,,,,
PER,BN,NGC1491,FOSSIL FOOTPRINT NEBULA,04 03.2,+51 19,?,6.0,9.0,NGC,,,,,
PER,OC,NGC1528,OCL  397          ,04 15.3,+51 13,6.4,18.0,18.0,NGC,,,,,
PER,OC,NGC1545,OCL  399          ,04 20.9,+50 15,6.2,12.0,12.0,NGC,,,,,
PER,BN,NGC1579,THE NORTHERN TRIFID,04 30.2,+35 17,?,3.0,3.0,NGC,,,,,
PER,OC,Berkeley68,                  ,04 44.5,+42 04,9.8,12.0,12.0,Berkeley,68,Berkeley 68,,,68
PSA,GAL,NGC7174,ESO 466-40        ,22 02.1,-32 00,13.3,2.6,1.5,NGC,,,,,
PSA,GAL,NGC7176,ESO 466-41        ,22 02.1,-31 59,11.3,2.1,1.7,NGC,,,,,
PSA,GAL,NGC7314,ESO 533-53        ,22 35.8,-26 03,11,4.6,2.0,NGC,,,,,
PSA,GAL,IC5271,ESO 406-34        ,22 58.0,-33 45,11.6,2.6,0.9,IC,5271,IC 5271,IC 5271,,5271
PSC,GAL,NGC128,UGC 292         ,00 29.2,+02 52,11.8,2.8,0.9,NGC,,,,,
PSC,GAL,NGC488,Whirligig galaxy,01 21.8,+05 15,10.3,5.4,3.9,NGC,,,,,
PSC,GAL,NGC628,M74 PHANTOM GALAXY,01 36.7,+15 47,9.4,10.0,9.4,NGC,,,,,
PSC,GAL,NGC7541,UGC 12447         ,23 14.7,+04 32,11.7,3.5,1.2,NGC,,,,,
PUP,OC,NGC2401,OCL  508          ,07 29.4,-13 58,12.6,2.0,2.0,NGC,,,,,
PUP,OC,NGC2421,OCL  626          ,07 36.2,-20 37,8.3,8.0,8.0,NGC,,,,,
PUP,OC,NGC2422,M47,07 36.6,-14 29,4.4,25.0,25.0,NGC,,,,,
PUP,OC,Melotte71,Collinder 155            ,07 37.5,-12 03,7.1,8.0,8.0,Melotte,71,Melotte 71,,,71
PUP,OC,NGC2425,OCL  599          ,07 38.3,-14 53,?,3.3,3.3,NGC,,,,,
PUP,OC,NGC2439,OCL  688          ,07 40.8,-31 42,6.9,9.0,9.0,NGC,,,,,
PUP,OC,NGC2437,M46,07 41.8,-14 49,6.1,20.0,20.0,NGC,,,,,
PUP,PN,NGC2438,PK231+4.2   (in M46)     ,07 41.8,-14 44,11,1.08,1.08,NGC,,,,,
PUP,PN,NGC2440,"ALBINO BUTTERFLY NEBULA,BURNING EMBER,BAT NEB.",07 41.9,-18 13,11.5,0.9,0.33,NGC,,,,,
PUP,OC,NGC2447,M93,07 44.5,-23 51,6.2,10.0,10.0,NGC,,,,,
PUP,OC,NGC2451,STINGING SCORPION CLUSTER,07 45.4,-37 57,2.8,50.0,50.0,NGC,,,,,
PUP,PN,NGC2452,PK243-1.1   (in same field as 2453)     ,07 47.4,-27 20,11.9,0.5,0.4,NGC,,,,,
PUP,OC,NGC2453,OCL  670          ,07 47.6,-27 12,8.3,4.0,4.0,NGC,,,,,
PUP,OC,NGC2477,TERMITE HOLE CLUSTER      ,07 52.2,-38 32,5.8,20.0,20.0,NGC,,,,,
PUP,BN+OC,NGC2467,"OC HAFFNER 18 & 19 WITHIN THE NEB.,CHAINED BROOCH NEB.,SKULL & CROSSBONES NEB.",07 52.5,-26 24,8,16.0,12.0,NGC,,,,,
PUP,OC,NGC2479,OCL  623          ,07 55.1,-17 42,9.6,11.0,11.0,NGC,,,,,
PUP,OC,NGC2489,OCL  690          ,07 56.3,-30 04,7.9,5.0,5.0,NGC,,,,,
PUP,OC,NGC2509,OCL  630          ,08 00.8,-19 03,9.3,12.0,12.0,NGC,,,,,
PUP,OC,NGC2533,OCL  695          ,08 07.0,-29 52,7.6,6.0,6.0,NGC,,,,,
PUP,OC,NGC2539,THE DISH CLUSTER,08 10.6,-12 49,6.5,15.0,15.0,NGC,,,,,
PUP,OC,NGC2546,HEART&DAGGER CLUSTER,08 12.4,-37 37,6.3,70.0,70.0,NGC,,,,,
PUP,OC,NGC2567,OCL  708          ,08 18.5,-30 39,7.4,11.0,11.0,NGC,,,,,
PUP,OC,NGC2588,OCL  715          ,08 23.2,-32 59,11.8,2.0,2.0,NGC,,,,,
SCL,GAL,NGC55,Dunlop 507        ,00 15.1,-39 11,7.9,31.2,5.9,NGC,,,,,
SCL,GAL,NGC134,GIANT SQUID GALAXY,00 30.4,-33 15,10,8.5,1.9,NGC,,,,,
SCL,GAL,NGC253,ESO 474-29/Sculptor Galaxy/SILVER COIN GAL.  ,00 47.6,-25 18,7.2,26.4,6.0,NGC,,,,,
SCL,GC,NGC288,ESO 474-SC37      ,00 52.8,-26 35,8.1,13.0,13.0,NGC,,,,,
SCL,GAL,NGC300,ESO 295-20        ,00 54.9,-37 41,8.1,19.3,13.3,NGC,,,,,
SCL,GAL,NGC7793,BOND'S GALAXY,23 57.8,-32 36,9.1,9.6,6.4,NGC,,,,,
SCO,GC,NGC6093,M80            ,16 17.0,-22 59,7.3,5.1,5.1,NGC,,,,,
SCO,GC,NGC6121,M4 CRAB OR SPIDER GLOBULAR,16 23.6,-26 32,5.4,36.0,36.0,NGC,,,,,
SCO,GC,NGC6144,GCL  42           ,16 27.2,-26 01,9,7.4,7.4,NGC,,,,,
SCO,OC,NGC6242,OCL 1001          ,16 55.5,-39 28,6.4,9.0,9.0,NGC,,,,,
SCO,OC,NGC6281,MOTH WING CLUSTER,17 04.8,-37 53,5.4,8.0,8.0,NGC,,,,,
SCO,PN,NGC6302,BUG NEBULA/BUTTERFLY NEB.,17 13.7,-37 06,9.6,1.2,0.5,NGC,,,,,
SCO,OC,NGC6383,6374,17 34.7,-32 35,5.5,20.0,20.0,NGC,,,,,
SCO,OC,NGC6404,OCL 1024          ,17 39.6,-33 14,10.6,6.0,6.0,NGC,,,,,
SCO,OC,NGC6400,PHANTOM CLUSTER,17 40.2,-36 58,8.8,12.0,12.0,NGC,,,,,
SCO,OC,NGC6405,M6 BUTTERFLY CLUSTER,17 40.3,-32 15,4.2,33.0,33.0,NGC,,,,,
SCO,OC,NGC6444,Ruprecht132            ,17 49.6,-34 49,?,12.0,12.0,NGC,,,,,
SCO,GC,NGC6441,SILVER NUGGET CLUSTER,17 50.2,-37 03,7.2,9.6,9.6,NGC,,,,,
SCO,OC,NGC6451,OCL 1035/Tom Thumb Cluster      ,17 50.7,-30 13,8.2,8.0,8.0,NGC,,,,,
SCT,OC,NGC6649,OCL   66          ,18 33.5,-10 24,8.9,6.0,6.0,NGC,,,,,
SCT,OC,NGC6664,SANTA'S SLEIGH CLUSTER,18 36.5,-08 11,7.8,12.0,12.0,NGC,,,,,
SCT,OC,NGC6694,M26,18 45.2,-09 23,8,10.0,10.0,NGC,,,,,
SCT,OC,NGC6705,M11 WILD DUCK CLUSTER,18 51.1,-06 16,5.8,11.0,11.0,NGC,,,,,
SCT,GC,NGC6712,GCL 103           ,18 53.1,-08 42,8.1,9.8,9.8,NGC,,,,,
SER,GC,NGC5904,M5 ROSE CLUSTER,15 18.6,+02 05,5.8,19.9,19.9,NGC,,,,,
SER,GC,NGC6539,GCL  85           ,18 04.8,-07 35,8.9,7.9,7.9,NGC,,,,,
SER,OC,Trumpler32,Harvard 19        ,18 17.2,-13 21,12.2,12.0,12.0,Trumpler,32,Trumpler 32,,,32
SER,OC,NGC6611,M16 EAGLE NEBULA--the cluster,18 18.8,-13 47,6,8.0,8.0,NGC,,,,,
SER,BN+OC,IC4703(BN),M16 EAGLE NEBULA--the nebula/Star Queen Nebula,18 18.8,-13 50,?,28.0,17.0,IC,4703,IC 4703,IC 4703,,4703
SER,OC,IC4756,TWEEDLEDEE CLUSTER,18 38.9,+05 26,4.6,40.0,40.0,IC,4756,IC 4756,IC 4756,,4756
SEX,GAL,NGC3115,MCG - 1-26- 18 SPINDLE GAL.   ,10 05.2,-07 43,8.9,7.3,3.4,NGC,,,,,
SGE,OC,Harvard20,                  ,19 53.2,+18 21,7.7,8.0,8.0,Harvard,20,Harvard 20,,,20
SGE,GC,NGC6838,M71 ANGELFISH CLUSTER (ARROWHEAD),19 53.8,+18 47,8.4,6.1,6.1,NGC,,,,,
SGR,GC,NGC6440,GCL  77           ,17 48.9,-20 22,9.3,4.4,4.4,NGC,,,,,
SGR,PN,NGC6445,BOX NEBULA (in same field as 6440)/COFFIN NEB.,17 49.3,-20 01,13,0.58,0.5,NGC,,,,,
SGR,OC,NGC6494,M23,17 56.9,-19 01,5.5,25.0,25.0,NGC,,,,,
SGR,OC,NGC6507,OCL   32          ,17 59.8,-17 27,9.6,8.0,8.0,NGC,,,,,
SGR,N+CL,NGC6514,M20 TRIFID NEBULA,18 02.5,-23 01,6.3,30.0,30.0,NGC,,,,,
SGR,DN,B86,"Forms a pairing with NGC6520 open cluster, INKSPOT NEB.",18 03.0,-27 52,,6.0,4.0,B,86,B 86,,,86
SGR,OC,NGC6520,"DEAD MAN'S CHEST CLUSTER, NEXT TO B86",18 03.4,-27 53,7.6,5.0,5.0,NGC,,,,,
SGR,GC,NGC6522,GCL  82           ,18 03.6,-30 02,9.9,9.4,9.4,NGC,,,,,
SGR,OC,NGC6531,M21,18 04.2,-22 30,5.9,16.0,16.0,NGC,,,,,
SGR,BN,NGC6523,M8 LAGOON NEBULA (Cluster = 6530),18 04.4,-24 23,4.6,15.0,30.0,NGC,,,,,
SGR,OC,NGC6530,OCL   19   in Lagoon Nebula(6523)    ,18 04.5,-24 21,4.6,15.0,15.0,NGC,,,,,
SGR,GC,NGC6528,GCL  84           ,18 04.8,-30 03,9.6,5.0,5.0,NGC,,,,,
SGR,GC,NGC6540,                  ,18 06.1,-27 46,14.6,1.5,1.5,NGC,,,,,
SGR,GC,NGC6544,STARFISH CLUSTER,18 07.3,-25 00,7.5,9.2,9.2,NGC,,,,,
SGR,GC,NGC6553,GCL  88           ,18 09.3,-25 54,8.3,9.2,9.2,NGC,,,,,
SGR,GC,NGC6558,GCL  89           ,18 10.3,-31 46,9.3,10.4,10.4,NGC,,,,,
SGR,PN,NGC6563,THE SOUTHERN RING NEBULA,18 12.0,-33 52,13,0.9,0.68,NGC,,,,,
SGR,DN,B92,on northside of M24,18 15.6,-18 14,,15.0,9.0,B,92,B 92,,,92
SGR,DN,B93,on northside of M24,18 16.9,-18 04,,8.0,3.0,B,93,B 93,,,93
SGR,OC,NGC6603,in M24,18 18.5,-18 24,11.1,4.0,4.0,NGC,,,,,
SGR,OC,NGC6613,M18 BLACK SWAN CLUSTER,18 20.0,-17 06,6.9,7.0,7.0,NGC,,,,,
SGR,N+CL,NGC6618,M17 SWAN NEB./OMEGA NEBULA/CHECKMARK NEB.,18 21.1,-16 11,6,27.0,27.0,NGC,,,,,
SGR,GC,NGC6624,GCL  93           ,18 23.7,-30 22,7.6,8.8,8.8,NGC,,,,,
SGR,GC,NGC6626,M28,18 24.5,-24 52,6.9,13.8,13.8,NGC,,,,,
SGR,PN,NGC6629,"PK9-5.1,H II 204",18 25.7,-23 12,10.5,0.27,0.23,NGC,,,,,
SGR,GC,NGC6638,GCL  95           ,18 30.9,-25 30,9.2,7.3,7.3,NGC,,,,,
SGR,GC,NGC6637,M69,18 31.4,-32 21,7.7,9.8,9.8,NGC,,,,,
SGR,OC,IC4725,M25,18 31.8,-19 07,4.6,26.0,26.0,IC,4725,IC 4725,IC 4725,,4725
SGR,GC,NGC6642,GCL  97           ,18 31.9,-23 29,8.9,5.8,5.8,NGC,,,,,
SGR,OC,NGC6645,OCL   48          ,18 32.6,-16 53,8.5,15.0,15.0,NGC,,,,,
SGR,GC,NGC6656,M22 GREAT SAGITTARIUS CLUSTER,18 36.4,-23 54,5.2,32.0,32.0,NGC,,,,,
SGR,GC,NGC6681,M70,18 43.2,-32 18,7.8,8.0,8.0,NGC,,,,,
SGR,PN,IC4776,PK2-13.1         ,18 45.8,-33 21,12.5,0.13,0.1,IC,4776,IC 4776,IC 4776,,4776
SGR,GC,NGC6715,M54,18 55.1,-30 29,7.7,12.0,12.0,NGC,,,,,
SGR,GC,NGC6717,Palomar 9             ,18 55.1,-22 42,8.4,5.4,5.4,NGC,,,,,
SGR,GC,NGC6723,Dunlop 573/CHANDELIER CLUSTER     ,18 59.6,-36 38,6.8,13.0,13.0,NGC,,,,,
SGR,GC,NGC6809,M55 SPECTER CLUSTER,19 40.0,-30 58,6.3,19.0,19.0,NGC,,,,,
SGR,PN,NGC6818,LITTLE GEM NEBULA,19 44.0,-14 09,10,0.37,0.25,NGC,,,,,
SGR,GAL,NGC6822,IC 4895/Barnard's Galaxy      ,19 44.9,-14 48,8.8,15.4,14.2,NGC,,,,,
SGR,GC,NGC6864,M75,20 06.1,-21 55,8.6,6.8,6.8,NGC,,,,,
TAU,BN,NGC1435,CED  19I     in Pleiades=MEROPE NEB./TEMPEL'S NEBULA   ,03 46.2,+23 46,?,30.0,30.0,NGC,,,,,
TAU,BN,IC349,Van den Bergh 22   in Pleiades         ,03 46.3,+23 56,?,30.0,30.0,IC,349,IC 349,IC 349,,349
TAU,PN,NGC1514,The PANSY or CRYSTAL BALL NEBULA,04 09.3,+30 47,10.8,2.0,1.5,NGC,,,,,
TAU,BN,NGC1554/1555,"Hind's Variable Nebula, STRUVE'S LOST NEBULA",04 21.9,+19 32,?,0.5,0.5,NGC,,,,,
TAU,OC,NGC1647,PIRATE MOON CLUSTER,04 45.7,+19 07,6.4,40.0,40.0,NGC,,,,,
TAU,OC,NGC1746,OCL  452          ,05 03.6,+23 49,6.1,40.0,40.0,NGC,,,,,
TAU,OC,NGC1817,POOR MAN'S DOUBLE CLUSTER,05 12.5,+16 41,7.7,20.0,20.0,NGC,,,,,
TAU,SNR,NGC1952,M1 CRAB NEBULA,05 34.5,+22 01,8.4,8.0,4.0,NGC,,,,,
TRI,GAL,NGC598,M33 TRIANGULUM GALAXY,01 33.9,+30 39,5.7,68.7,41.6,NGC,,,,,
TRI,GAL,NGC669,UGC 1248         ,01 47.3,+35 34,12.3,3.1,0.6,NGC,,,,,
TRI,GAL,NGC670,UGC 1250         ,01 47.4,+27 53,12.7,2.1,0.9,NGC,,,,,
TRI,GAL,NGC672,UGC 1256         ,01 47.9,+27 26,10.9,7.5,2.6,NGC,,,,,
TRI,GAL,NGC684,IC 165           ,01 50.2,+27 39,12.4,3.4,0.7,NGC,,,,,
TRI,GAL,NGC751,UGC 1431         ,01 57.6,+33 12,14,1.8,1.8,NGC,,,,,
TRI,GAL,NGC784,UGC 1501         ,02 01.3,+28 50,11.7,6.6,1.6,NGC,,,,,
TRI,GAL,NGC925,UGC 1913         ,02 27.3,+33 35,10.1,10.9,6.2,NGC,,,,,
TRI,GAL,NGC949,UGC 1983         ,02 30.8,+37 08,11.8,2.7,1.7,NGC,,,,,
UMA,GAL,NGC2681,UGC 4645         ,08 53.5,+51 19,10.3,3.7,3.7,NGC,,,,,
UMA,GAL,NGC2768,UGC 4821         ,09 11.6,+60 02,9.9,8.2,5.3,NGC,,,,,
UMA,GAL,NGC2841,TIGER'S EYE GALAXY,09 22.0,+50 59,9.2,7.7,3.6,NGC,,,,,
UMA,GAL,NGC3031,M81 BODE'S NEBULA,09 55.6,+69 04,6.9,24.9,11.5,NGC,,,,,
UMA,GAL,NGC3034,M82 CIGAR GALAXY,09 55.9,+69 41,8.4,10.5,5.1,NGC,,,,,
UMA,GAL,NGC3079,UGC 5387   THE PHANTOM FRISBEE      ,10 02.0,+55 41,10.9,8.1,1.3,NGC,,,,,
UMA,GAL,NGC3077,UGC 5398 THE GARLAND GAL.        ,10 03.3,+68 44,9.9,5.2,4.7,NGC,,,,,
UMA,GAL,NGC3184,LITTLE PINWHEEL GALAXY,10 18.3,+41 25,9.8,7.6,7.4,NGC,,,,,
UMA,GAL,NGC3556,M108,11 11.5,+55 40,10,8.6,2.4,NGC,,,,,
UMA,PN,NGC3587,M97 OWL NEBULA,11 14.8,+55 01,11,3.4,3.27,NGC,,,,,
UMA,GAL,NGC3631,UGC 6360         ,11 21.0,+53 10,10.4,5.0,4.8,NGC,,,,,
UMA,GAL,NGC3675,UGC 6439         ,11 26.1,+43 35,10.2,6.2,3.6,NGC,,,,,
UMA,GAL,NGC3718,UGC 6524         ,11 32.6,+53 04,10.8,8.2,3.5,NGC,,,,,
UMA,GAL,NGC3726,UGC 6537         ,11 33.3,+47 02,10.4,6.0,4.1,NGC,,,,,
UMA,GAL,NGC3877,UGC 6745         ,11 46.1,+47 30,11,5.3,1.2,NGC,,,,,
UMA,GAL,NGC3893,UGC 6778         ,11 48.6,+48 43,10.5,4.5,2.4,NGC,,,,,
UMA,GAL,NGC3896,UGC 6781         ,11 48.9,+48 40,12.9,1.5,1.0,NGC,,,,,
UMA,GAL,NGC3917,UGC 6815         ,11 50.8,+51 49,11.8,5.0,1.1,NGC,,,,,
UMA,GAL,NGC3938,UGC 6856         ,11 52.8,+44 07,10.4,5.1,5.0,NGC,,,,,
