CONST.,TYPE,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG,MAX SZ,MIN SZ,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number,Types_OpenNGC,Best_500
Boo,GAL,NGC5689,UGC 9399         ,14 35.5,+48 44,11.9,3.3,1.0,NGC,5689,NGC 5689,,,5689,G,True
Cam,PN,NGC1501,"OYSTER NEBULA, The Camel's Eye",04 07.0,+60 55,12,0.93,0.8,NGC,1501,NGC 1501,,,1501,PN,True
Cam,OC,NGC1502,JOLLY ROGER CLUSTER/GOLDEN HARP CLUSTER,04 07.8,+62 20,6.9,20.0,20.0,NGC,1502,NGC 1502,,,1502,OCl,True
Cam,GAL,NGC2146,"3C120,DUSTY HAND GALAXY""       ",06 18.6,+78 21,10.6,5.7,3.3,NGC,2146,NGC 2146,,,2146,G,True
Cam,GAL,NGC2268,UGC 3653         ,07 14.3,+84 23,11.5,3.3,2.0,NGC,2268,NGC 2268,,,2268,G,True
Cam,GAL,NGC2336,UGC 3809         ,07 27.1,+80 11,10.4,6.8,3.7,NGC,2336,NGC 2336,,,2336,G,True
Cam,GAL,NGC2403,UGC 3918         ,07 36.8,+65 36,8.5,23.4,11.8,NGC,2403,NGC 2403,,,2403,G,True
Cam,GAL,NGC2655,UGC 4637         ,08 55.6,+78 13,10.1,4.9,4.1,NGC,2655,NGC 2655,,,2655,G,True
Cam,PN,IC3568,"THEORITICIAN'S NEBULA,Lemon Slice Neb.,Baby Eskimo",12 33.1,+82 34,10.6,0.3,0.3,IC,3568,IC 3568,IC 3568,,3568,PN,True
Cap,GC,NGC7099,M30 JELLYFISH CLUSTER,21 40.4,-23 11,6.9,12.0,12.0,M,30,M 30,,M 30,30,GCl,True
Cas,GAL,IC10,UGC 192         ,00 20.4,+59 18,13.3,6.4,5.3,IC,10,IC 10,IC 10,,10,G,True
Cas,GAL,NGC147,"UGC 326,D3      ",00 33.2,+48 30,9.5,13.5,8.2,NGC,147,NGC 147,,,147,G,True
Cas,GAL,NGC185,UGC 396         ,00 39.0,+48 20,9.2,12.5,10.4,NGC,185,NGC 185,,,185,G,True
Cas,OC,NGC189,OCL  301          ,00 39.6,+61 06,8.8,5.0,5.0,NGC,189,NGC 189,,,189,OCl,True
Cas,OC,NGC225,SAILBOAT CLUSTER,00 43.6,+61 46,7,12.0,12.0,NGC,225,NGC 225,,,225,OCl,True
Cas,GAL,NGC278,UGC 528         ,00 52.1,+47 33,10.8,2.4,2.4,NGC,278,NGC 278,,,278,G,True
Cas,N+CL,NGC281,"IC  11, PacMan Nebula w/OC IC1590""  ",00 53.0,+56 37,7.4,4.0,4.0,NGC,281,NGC 281,,,281,Cl+N,True
Cas,OC,NGC381,OCL  317          ,01 08.3,+61 35,9.3,7.0,7.0,NGC,381,NGC 381,,,381,OCl,True
Cas,OC,NGC436,OCL  320          ,01 16.0,+58 49,8.8,5.0,5.0,NGC,436,NGC 436,,,436,OCl,True
Cas,OC,NGC457,OWL Cluster/ET Cluster,01 19.5,+58 17,6.4,20.0,20.0,NGC,457,NGC 457,,,457,OCl,True
Cas,OC,NGC581,M103,01 33.4,+60 39,7.4,6.0,6.0,M,103,M 103,,M 103,103,OCl,True
Cas,OC,Trumpler1,Collinder  15            ,01 35.7,+61 17,8.1,3.0,3.0,Trumpler,1,Trumpler 1,,,1,OCl,True
Cas,OC,NGC637,OCL  329          ,01 43.1,+64 02,8.2,3.0,3.0,NGC,637,NGC 637,,,637,OCl,True
Cas,OC,NGC654,FUZZY BUTTERFLY,01 44.0,+61 53,6.5,6.0,6.0,NGC,654,NGC 654,,,654,OCl,True
Cas,OC,NGC659,OCL  332          ,01 44.4,+60 40,7.9,6.0,6.0,NGC,659,NGC 659,,,659,OCl,True
Cas,OC,NGC663,OCL  333/Lawnmower cluster       ,01 46.3,+61 13,7.1,15.0,15.0,NGC,663,NGC 663,,,663,OCl,True
Cas,OC,NGC743,OCL  343          ,01 58.5,+60 10,9.5,7.0,7.0,NGC,743,NGC 743,,,743,OCl,True
Cas,N+CL,IC1805,The Heart Nebula/The Running Dog Nebula/Valentine Nebula,02 32.7,+61 27,6.5,20.0,20.0,IC,1805,IC 1805,IC 1805,,1805,Cl+N,True
Cas,OC,NGC7654,M52 THE SCORPION CLUSTER,23 24.9,+61 36,6.9,16.0,16.0,M,52,M 52,,M 52,52,OCl,True
Cas,OC,NGC7789,Ghost cluster/Star Mist cluster/Caroline's cluster,23 57.5,+56 43,6.7,25.0,25.0,NGC,7789,NGC 7789,,,7789,OCl,True
Cas,OC,NGC7790,THE WIDOW'S WEB CLUSTER,23 58.4,+61 13,8.5,5.0,5.0,NGC,7790,NGC 7790,,,7790,OCl,True
Cen,GAL,NGC5102,IOTA'S GHOST,13 22.0,-36 38,9.3,8.3,3.5,NGC,5102,NGC 5102,,,5102,G,True
Cep,PN,NGC40,"Bow Tie Nebula, The Scarab Nebula",00 13.0,+72 31,10.7,1.0,0.67,NGC,40,NGC 40,,,40,PN,True
Cep,OC,NGC188,POLARISSIMA CLUSTER,00 47.5,+85 14,8.1,15.0,15.0,NGC,188,NGC 188,,,188,OCl,True
Cep,OC,NGC6939,GHOST BUSH CLUSTER/FLYING GEESE CLUSTER,20 31.5,+60 40,7.8,10.0,10.0,NGC,6939,NGC 6939,,,6939,OCl,True
Cep,GAL,NGC6946,"UGC 11597(actually in Cygnus, but forms pair with 6939)""  ",20 34.9,+60 09,8.8,11.2,9.8,NGC,6946,NGC 6946,,,6946,G,True
