CONST.,TYPE,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG,MAX SZ,MIN SZ,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number,Types_OpenNGC,Best_500
Equ,GAL,NGC7015,UGC 11674         ,21 05.6,+11 25,12.5,1.8,1.6,NGC,7015,NGC 7015,,,7015,G,True
Eri,GAL,NGC1187,ESO 480-23        ,03 02.6,-22 52,10.8,5.6,3.8,NGC,1187,NGC 1187,,,1187,G,True
Eri,GAL,NGC1232,EYE OF GOD GALAXY,03 09.8,-20 35,9.9,7.1,6.3,NGC,1232,NGC 1232,,,1232,G,True
Eri,GAL,NGC1300,ESO 547-31        ,03 19.7,-19 25,10.4,5.9,4.1,NGC,1300,NGC 1300,,,1300,G,True
Eri,GAL,NGC1332,ESO 548-18        ,03 26.3,-21 20,10.3,4.0,1.5,NGC,1332,NGC 1332,,,1332,G,True
Eri,GAL,NGC1331,IC 324           ,03 26.5,-21 21,13.4,0.9,0.9,NGC,1331,NGC 1331,,,1331,G,True
Eri,GAL,NGC1395,ESO 482-19        ,03 38.5,-23 02,9.6,5.6,4.6,NGC,1395,NGC 1395,,,1395,G,True
Eri,GAL,NGC1400,ESO 548-62        ,03 39.5,-18 41,11,2.5,2.1,NGC,1400,NGC 1400,,,1400,G,True
Eri,GAL,NGC1407,ESO 548-67        ,03 40.2,-18 35,9.7,4.9,4.5,NGC,1407,NGC 1407,,,1407,G,True
Eri,GAL,NGC1421,MCG - 2-10-  8    ,03 42.5,-13 29,11.4,3.4,0.8,NGC,1421,NGC 1421,,,1421,G,True
Eri,GAL,NGC1507,UGC 2947         ,04 04.5,-02 11,12.3,3.6,1.0,NGC,1507,NGC 1507,,,1507,G,True
Eri,GAL,NGC1531,ESO 359-26        ,04 12.0,-32 51,12.2,1.2,0.9,NGC,1531,NGC 1531,,,1531,G,True
Eri,GAL,NGC1532,ESO 359-27        ,04 12.1,-32 52,9.9,11.6,3.4,NGC,1532,NGC 1532,,,1532,G,True
Eri,PN,NGC1535,"CLEOPATRA'S EYE, THE ESKIMO'S WIFE",04 14.3,-12 44,10.4,0.33,0.28,NGC,1535,NGC 1535,,,1535,PN,True
For,GAL,NGC1316,FORNAX A elliptical,03 22.7,-37 12,8.2,13.5,9.3,NGC,1316,NGC 1316,,,1316,G,True
For,PN,NGC1360,COMET PLANETARY,03 33.2,-25 52,9.4,6.0,4.5,NGC,1360,NGC 1360,,,1360,PN,True
For,GAL,NGC1365,ESO 358-17        ,03 33.6,-36 08,9.6,11.0,6.2,NGC,1365,NGC 1365,,,1365,G,True
For,GAL,NGC1369,ESO 358-G034      ,03 36.8,-36 15,12.7,1.5,1.4,NGC,1369,NGC 1369,,,1369,G,True
For,GAL,NGC1399,ESO 358-45        ,03 38.5,-35 27,9.6,6.6,6.1,NGC,1399,NGC 1399,,,1399,G,True
For,GAL,NGC1398,nan,03 38.9,-26 20,9.5,7.6,5.3,NGC,1398,NGC 1398,,,1398,G,True
For,GAL,NGC1404,ESO 358-46        ,03 38.9,-35 36,10,3.9,3.3,NGC,1404,NGC 1404,,,1404,G,True
Gem,OC,NGC2129,OCL  467          ,06 01.1,+23 19,6.7,6.0,6.0,NGC,2129,NGC 2129,,,2129,OCl,True
Gem,OC,NGC2158,OCL  468          ,06 07.4,+24 06,8.6,5.0,5.0,NGC,2158,NGC 2158,,,2158,OCl,True
Gem,OC,NGC2168,M35,06 09.0,+24 21,5.1,25.0,25.0,M,35,M 35,,M 35,35,OCl,True
Gem,OC,NGC2266,OCL  471          ,06 43.3,+26 58,9.5,5.0,5.0,NGC,2266,NGC 2266,,,2266,OCl,True
Gem,OC,NGC2355,2356,07 17.0,+13 45,9.7,8.0,8.0,NGC,2355,NGC 2355,,,2355,OCl,True
Gem,PN,NGC2371/2372,"THE ANT NEB.,DOUBLE BUBBLE NEB.,PEANUT NEB.,Dogbone Neb.",07 25.6,+29 29,13,1.23,0.9,NGC,2371,NGC 2371,,,2371,PN,True
Gem,PN,NGC2392,PK197+17.1/Clown face Nebula/Eskimo Nebula,07 29.2,+20 55,8.6,0.78,0.72,NGC,2392,NGC 2392,,,2392,PN,True
Gem,OC,NGC2420,TWINKLING COMET CLUSTER,07 38.4,+21 34,8.3,6.0,6.0,NGC,2420,NGC 2420,,,2420,OCl,True
Her,PN,IC4593,WHITE-EYED PEA NEBULA,16 11.7,+12 04,11,0.21,0.17,IC,4593,IC 4593,IC 4593,,4593,PN,True
Her,GC,NGC6205,M13 HERCULES CLUST.(DARK LANES=THE PROPELLOR,16 41.7,+36 28,5.8,20.0,20.0,M,13,M 13,,M 13,13,GCl,True
Her,GAL,NGC6207,UGC 10521         ,16 43.1,+36 50,11.6,3.0,1.2,NGC,6207,NGC 6207,,,6207,G,True
Her,PN,NGC6210,TURTLE NEBULA,16 44.5,+23 48,9.7,0.33,0.22,NGC,6210,NGC 6210,,,6210,PN,True
Her,GC,NGC6341,M92,17 17.1,+43 08,6.5,14.0,14.0,M,92,M 92,,M 92,92,GCl,True
Hya,OC,NGC2548,M48,08 13.7,-05 45,5.8,30.0,30.0,M,48,M 48,,M 48,48,OCl,True
Hya,PN,NGC2610,PK239+13.1       ,08 33.4,-16 09,13,0.83,0.78,NGC,2610,NGC 2610,,,2610,PN,True
Hya,GAL,NGC2815,ESO 497-32        ,09 16.3,-23 38,11.9,3.5,1.1,NGC,2815,NGC 2815,,,2815,G,True
Hya,GAL,NGC3091,ESO 566-41        ,10 00.2,-19 38,11.1,3.0,1.9,NGC,3091,NGC 3091,,,3091,G,True
Hya,GAL,NGC3109,ESO 499-36        ,10 03.1,-26 10,9.9,19.7,3.4,NGC,3109,NGC 3109,,,3109,G,True
Hya,PN,NGC3242,THE GHOST OF JUPITER/The CBS Eye/DIAMOND NEB.,10 24.8,-18 39,8.6,0.67,0.58,NGC,3242,NGC 3242,,,3242,PN,True
Hya,GAL,NGC3621,FRAME GALAXY,11 18.3,-32 49,8.5,9.8,4.6,NGC,3621,NGC 3621,,,3621,G,True
Hya,GC,NGC4590,M68,12 39.5,-26 45,7.3,11.0,11.0,M,68,M 68,,M 68,68,GCl,True
Hya,GAL,NGC5236,"M83 SEASHELL GALAXY, SOUTHERN PINWHEEL",13 37.0,-29 52,7.5,13.1,12.2,M,83,M 83,,M 83,83,G,True
Lac,OC,NGC7209,THE STAR LIZARD CLUSTER/drunken lizard cluster,22 05.1,+46 29,7.7,15.0,15.0,NGC,7209,NGC 7209,,,7209,OCl,True
Lac,OC,IC1434,Collinder 445            ,22 10.5,+52 50,9,7.0,7.0,IC,1434,IC 1434,IC 1434,,1434,OCl,True
Lac,OC,NGC7243,OCL  221          ,22 15.1,+49 54,6.4,30.0,30.0,NGC,7243,NGC 7243,,,7243,OCl,True
Lac,OC,NGC7245,OCL  225          ,22 15.3,+54 20,9.2,5.0,5.0,NGC,7245,NGC 7245,,,7245,OCl,True
Leo,GAL,NGC2903,UGC 5079         ,09 32.2,+21 30,9,12.0,5.6,NGC,2903,NGC 2903,,,2903,G,True
Leo,GAL,NGC3226,UGC 5617         ,10 23.4,+19 54,11.4,2.5,2.2,NGC,3226,NGC 3226,,,3226,G,True
Leo,GAL,NGC3227,UGC 5620         ,10 23.5,+19 52,10.3,6.6,5.0,NGC,3227,NGC 3227,,,3227,G,True
Leo,GAL,NGC3351,M95,10 44.0,+11 42,9.7,7.3,4.4,M,95,M 95,,M 95,95,G,True
Leo,GAL,NGC3368,M96,10 46.8,+11 49,9.3,7.8,5.2,M,96,M 96,,M 96,96,G,True
Leo,GAL,NGC3379,M105,10 47.8,+12 35,9.3,5.3,4.8,M,105,M 105,,M 105,105,G,True
Leo,GAL,NGC3384,3371,10 48.3,+12 38,9.9,5.4,2.7,NGC,3384,NGC 3384,,,3384,G,True
Leo,GAL,NGC3373,3389,10 48.5,+12 32,12.5p,2.9,1.3,NGC,3373,NGC 3373,,,3373,G,True
Leo,GAL,NGC3507,UGC 6123         ,11 03.4,+18 08,10.9,3.4,2.9,NGC,3507,NGC 3507,,,3507,G,True
Leo,GAL,NGC3521,UGC 6150         ,11 05.8,-00 02,9,11.2,5.4,NGC,3521,NGC 3521,,,3521,G,True
Leo,GAL,NGC3623,M65/The Trio in Leo,11 18.9,+13 05,9.3,9.0,2.3,M,65,M 65,,M 65,65,G,True
Leo,GAL,NGC3627,M66/The Trio in Leo,11 20.2,+13 00,8.9,9.1,4.1,M,66,M 66,,M 66,66,G,True
Leo,GAL,NGC3628,"KING HAMLET'S GHOST/The Trio in Leo,HOTDOG GAL",11 20.3,+13 35,9.5,13.1,3.1,NGC,3628,NGC 3628,,,3628,G,True
Lep,GC,NGC1904,M79,05 24.2,-24 31,7.7,9.6,9.6,M,79,M 79,,M 79,79,GCl,True
Lep,PN,IC418,"SPIROGRAPH NEBULA, RASPBERRY NEBULA",05 27.5,-12 42,10.7,0.23,0.18,IC,418,IC 418,IC 418,,418,PN,True
Lep,GAL,NGC1964,ESO 554-10        ,05 33.4,-21 57,10.8,5.5,2.1,NGC,1964,NGC 1964,,,1964,G,True
Lib,GC,NGC5897,GHOST GLOBULAR,15 17.4,-21 01,8.5,12.6,12.6,NGC,5897,NGC 5897,,,5897,GCl,True
Lmi,GAL,NGC3003,UGC 5251         ,09 48.6,+33 25,11.9,5.7,1.4,NGC,3003,NGC 3003,,,3003,G,True
Lmi,GAL,NGC3344,SLICED ONION GALAXY,10 43.5,+24 55,9.9,7.1,6.8,NGC,3344,NGC 3344,,,3344,G,True
Lmi,GAL,NGC3432,THE KNITTING NEEDLE GALAXY,10 52.5,+36 37,11.3,6.6,1.6,NGC,3432,NGC 3432,,,3432,G,True
Lup,GC,NGC5986,Dunlop 552        ,15 46.1,-37 47,7.6,9.6,9.6,NGC,5986,NGC 5986,,,5986,GCl,True
Lyn,GC,NGC2419,THE INTERGALACTIC WANDERER         ,07 38.1,+38 53,10.3,4.6,4.6,NGC,2419,NGC 2419,,,2419,GCl,True
Lyn,GAL,NGC2537,Bear Paw Galaxy,08 13.2,+45 59,11.7,3.1,2.7,NGC,2537,NGC 2537,,,2537,G,True
Lyn,GAL,NGC2683,UFO GALAXY,08 52.7,+33 25,9.8,8.8,2.5,NGC,2683,NGC 2683,,,2683,G,True
Lyr,PN,NGC6720,M57 RING NEBULA,18 53.6,+33 02,9.4,1.43,1.03,M,57,M 57,,M 57,57,PN,True
Lyr,GC,NGC6779,M56,19 16.6,+30 11,8.4,8.8,8.8,M,56,M 56,,M 56,56,GCl,True
Lyr,OC,NGC6791,OCL  142          ,19 20.9,+37 46,9.5,10.0,10.0,NGC,6791,NGC 6791,,,6791,OCl,True
Mon,OC,NGC2225,2226=ctr of cluster,06 26.6,-09 38,14.0p,1.5,1.5,NGC,2225,NGC 2225,,,2225,OCl,True
Mon,OC,NGC2236,OCL  501          ,06 29.7,+06 50,8.5,8.0,8.0,NGC,2236,NGC 2236,,,2236,OCl,True
Mon,BN,NGC2237/2238/2239/2246,The Rosette Nebula,06 31.9,+04 57,5.5,80.0,60.0,NGC,2237,NGC 2237,,,2237,Neb,True
Mon,OC,NGC2244 CLUSTER IN ROS.,cluster in the Rosette,06 32.3,+04 51,4.8,30.0,30.0,NGC,2244 CLUSTER IN ROS,NGC 2244 CLUSTER IN ROS,,,2244,OCl,True
Mon,OC,NGC2251,OCL  499          ,06 34.6,+08 22,7.3,10.0,10.0,NGC,2251,NGC 2251,,,2251,OCl,True
Mon,OC,NGC2254,OCL  500          ,06 35.8,+07 40,9.1,6.0,6.0,NGC,2254,NGC 2254,,,2254,OCl,True
Mon,OC,NGC2259,OCL  492          ,06 38.6,+10 53,10.8,3.5,3.5,NGC,2259,NGC 2259,,,2259,OCl,True
Mon,BN,NGC2261,HUBBLE'S VARIABLE NEBULA,06 39.2,+08 45,?,2.0,1.0,NGC,2261,NGC 2261,,,2261,Neb,True
Mon,N+CL,NGC2264,CHRISTMAS TREE CLUSTER/CONE NEBULA,06 41.0,+09 54,4.1,40.0,40.0,NGC,2264,NGC 2264,,,2264,Cl+N,True
Mon,OC,NGC2269,"OCL  524,Z95,HEAD HUNTER,STARFIGHTER""        ",06 43.3,+04 37,10,3.0,3.0,NGC,2269,NGC 2269,,,2269,OCl,True
Mon,OC,NGC2286,OCL  548          ,06 47.7,-03 09,7.5,15.0,15.0,NGC,2286,NGC 2286,,,2286,OCl,True
Mon,OC,NGC2301,HAGRID'S DRAGON,06 51.8,+00 28,6,15.0,15.0,NGC,2301,NGC 2301,,,2301,OCl,True
Mon,OC,NGC2309,OCL  557          ,06 56.1,-07 10,10.5,5.0,5.0,NGC,2309,NGC 2309,,,2309,OCl,True
Mon,BN,NGC2316,2317,06 59.7,-07 47,?,4.0,4.0,NGC,2316,NGC 2316,,,2316,Neb,True
Mon,OC,NGC2323,M50/Heart-Shaped Cluster,07 02.8,-08 23,5.9,15.0,15.0,M,50,M 50,,M 50,50,OCl,True
Mon,OC,NGC2353,AVERY'S ISLAND,07 14.5,-10 16,7.1,18.0,18.0,NGC,2353,NGC 2353,,,2353,OCl,True
Mon,OC,NGC2506,OCL  593          ,08 00.0,-10 46,7.6,12.0,12.0,NGC,2506,NGC 2506,,,2506,OCl,True
Oph,GC,NGC6171,"M107, THE CRUCIFIX CLUSTER",16 32.5,-13 03,7.8,13.0,13.0,M,107,M 107,,M 107,107,GCl,True
Oph,GC,NGC6218,M12,16 47.2,-01 57,6.1,16.0,16.0,M,12,M 12,,M 12,12,GCl,True
Oph,GC,NGC6254,M10,16 57.1,-04 06,6.6,20.0,20.0,M,10,M 10,,M 10,10,GCl,True
Oph,GC,NGC6266,M62 FLICKERING GLOBULAR,17 01.2,-30 07,6.4,15.0,15.0,M,62,M 62,,M 62,62,GCl,True
Oph,GC,NGC6273,M19,17 02.6,-26 16,6.8,17.0,17.0,M,19,M 19,,M 19,19,GCl,True
Oph,GC,NGC6284,GCL  53           ,17 04.5,-24 46,8.9,6.2,6.2,NGC,6284,NGC 6284,,,6284,GCl,True
Oph,PN,NGC6309,"The Box Nebula, THE SHOEPRINT NEB.,the exclamation mark!",17 14.1,-12 55,11.6,0.33,0.17,NGC,6309,NGC 6309,,,6309,PN,True
Oph,GC,NGC6316,GCL  57           ,17 16.6,-28 08,8.1,5.4,5.4,NGC,6316,NGC 6316,,,6316,GCl,True
Oph,GC,NGC6333,M9,17 19.2,-18 31,7.8,12.0,12.0,M,9,M 9,,M 9,9,GCl,True
Oph,GC,NGC6356,GCL  62           ,17 23.6,-17 49,8.2,10.0,10.0,NGC,6356,NGC 6356,,,6356,GCl,True
Oph,PN,NGC6369,LITTLE GHOST NEBULA,17 29.3,-23 46,11,0.5,0.48,NGC,6369,NGC 6369,,,6369,PN,True
Oph,GC,NGC6402,M14,17 37.6,-03 15,7.6,11.0,11.0,M,14,M 14,,M 14,14,GCl,True
Oph,OC,IC4665,Poseidon'd Trident,17 46.2,+05 43,4.2,70.0,70.0,IC,4665,IC 4665,IC 4665,,4665,OCl,True
Oph,PN,NGC6572,"EMERALD EYE PLANETARY, BLUE RACQUETBALL",18 12.1,+06 51,8,0.25,0.2,NGC,6572,NGC 6572,,,6572,PN,True
Oph,OC,NGC6633,nan,18 27.2,+06 30,4.6,20.0,20.0,NGC,6633,NGC 6633,,,6633,OCl,True
Ori,BN,NGC1973/1975(NEBULA),MERMAID'S PURSE NEBULA/RUNNING MAN NEBULA,05 35.1,-04 44,7,10.0,10.0,NGC,1973,NGC 1973,,,1973,Neb,True
Ori,OC,NGC1981,COAL CAR CLUSTER-JUST N. OF 1973/5/7,05 35.2,-04 26,4.2,28.0,28.0,NGC,1981,NGC 1981,,,1981,OCl,True
Ori,N+CL,NGC1976,M42 ORION NEBULA,05 35.3,-05 23,4,47.0,60.0,M,42,M 42,,M 42,42,Cl+N,True
Ori,N+CL,NGC1977(CLUSTER),CLUSTER IN NGC1973/1975,05 35.3,-04 49,7,20.0,10.0,NGC,1977,NGC 1977,,,1977,Cl+N,True
Ori,N+CL,NGC1980,The Lost Jewel of Orion=CLUSTER WITH NEBULA       ,05 35.4,-05 55,2.5,15.0,14.0,NGC,1980,NGC 1980,,,1980,Cl+N,True
Ori,BN,NGC1982,M43/De Mairan's Nebula,05 35.5,-05 16,9,20.0,15.0,M,43,M 43,,M 43,43,Neb,True
Ori,BN,NGC1999,"13TH PEARL NEBULA, BLACK EYE NEBULA",05 36.5,-06 42,9.2,2.0,2.0,NGC,1999,NGC 1999,,,1999,Neb,True
Ori,BN,NGC2024,LIPS NEBULA/FLAME NEBULA/MAPLE LEAF NEB./TANK NEB.,05 41.7,-01 51,?,30.0,22.0,NGC,2024,NGC 2024,,,2024,Neb,True
Ori,PN,NGC2022,"KISSING CRESCENTS NEBULA, ORION'S COLLARBONE NEB.",05 42.1,+09 05,11.6,0.45,0.45,NGC,2022,NGC 2022,,,2022,PN,True
Ori,BN,NGC2068,M78 CASPER THE FRIENDLY GHOST,05 46.8,+00 05,8,8.0,6.0,M,78,M 78,,M 78,78,Neb,True
Ori,OC,NGC2141,OCL  487          ,06 02.9,+10 27,9.4,10.0,10.0,NGC,2141,NGC 2141,,,2141,OCl,True
Ori,OC,NGC2169,"SHOPPING CART CLUSTER/""37"" Cluster",06 08.4,+13 58,5.9,6.0,6.0,NGC,2169,NGC 2169,,,2169,OCl,True
Ori,OC,NGC2194,OCL  495          ,06 13.8,+12 48,8.5,9.0,9.0,NGC,2194,NGC 2194,,,2194,OCl,True
Peg,GAL,NGC7814,"UGC 8 THE LITTLE SOMBRERO, ELECTRIC ARC GAL.",00 03.2,+16 09,11,5.5,2.3,NGC,7814,NGC 7814,,,7814,G,True
Peg,GC,NGC7078,M15 PEGASUS CLUSTER,21 30.0,+12 10,6.3,18.0,18.0,M,15,M 15,,M 15,15,GCl,True
Peg,GAL,NGC7331,UGC 12113(Deer Lick Group with the companions)      ,22 37.1,+34 25,9.5,10.2,4.2,NGC,7331,NGC 7331,,,7331,G,True
Peg,GAL,NGC7479,"UGC 12343, Superman Galaxy",23 04.9,+12 19,10.9,4.0,3.1,NGC,7479,NGC 7479,,,7479,G,True
Per,PN,NGC650/651,"M76 LITTLE DUMBBELL, the Barbell, The Cork""          ",01 42.3,+51 35,11,2.7,1.78,M,76,M 76,,M 76,76,PN,True
Per,OC,NGC869,PERSEUS DOUBLE CLUSTER,02 19.1,+57 08,5.3,18.0,18.0,NGC,869,NGC 869,,,869,OCl,True
Per,OC,NGC884,PERSEUS DOUBLE CLUSTER,02 22.1,+57 08,6.1,18.0,18.0,NGC,884,NGC 884,,,884,OCl,True
Per,GAL,NGC1003,UGC 2137         ,02 39.3,+40 52,11.4,5.7,2.2,NGC,1003,NGC 1003,,,1003,G,True
Per,GAL,NGC1023,"UGC 2154, PERSEUS LENTICULAR""       ",02 40.4,+39 04,9.4,8.1,3.4,NGC,1023,NGC 1023,,,1023,G,True
Per,OC,NGC1039,M34,02 42.1,+42 45,5.2,25.0,25.0,M,34,M 34,,M 34,34,OCl,True
Per,GAL,NGC1160,UGC 2475         ,03 01.2,+44 57,12.8,1.9,0.9,NGC,1160,NGC 1160,,,1160,G,True
Per,OC,NGC1245,PATRICK STARFISH,03 14.7,+47 14,8.4,10.0,10.0,NGC,1245,NGC 1245,,,1245,OCl,True
Per,BN,NGC1333,EMBRYO NEBULA,03 29.3,+31 25,5.7,6.0,3.0,NGC,1333,NGC 1333,,,1333,Neb,True
Per,OC,NGC1342,STINGRAY CLUSTER,03 31.7,+37 22,6.7,17.0,17.0,NGC,1342,NGC 1342,,,1342,OCl,True
Per,OC,NGC1444,OCL  394          ,03 49.4,+52 39,6.6,4.0,4.0,NGC,1444,NGC 1444,,,1444,OCl,True
Per,BN,NGC1491,FOSSIL FOOTPRINT NEBULA,04 03.2,+51 19,?,6.0,9.0,NGC,1491,NGC 1491,,,1491,Neb,True
Per,OC,NGC1528,OCL  397          ,04 15.3,+51 13,6.4,18.0,18.0,NGC,1528,NGC 1528,,,1528,OCl,True
Per,OC,NGC1545,OCL  399          ,04 20.9,+50 15,6.2,12.0,12.0,NGC,1545,NGC 1545,,,1545,OCl,True
Per,BN,NGC1579,THE NORTHERN TRIFID,04 30.2,+35 17,?,3.0,3.0,NGC,1579,NGC 1579,,,1579,Neb,True
Per,OC,Berkeley68,                  ,04 44.5,+42 04,9.8,12.0,12.0,Berkeley,68,Berkeley 68,,,68,OCl,True
Psa,GAL,NGC7174,ESO 466-40        ,22 02.1,-32 00,13.3,2.6,1.5,NGC,7174,NGC 7174,,,7174,G,True
Psa,GAL,NGC7176,ESO 466-41        ,22 02.1,-31 59,11.3,2.1,1.7,NGC,7176,NGC 7176,,,7176,G,True
Psa,GAL,NGC7314,ESO 533-53        ,22 35.8,-26 03,11,4.6,2.0,NGC,7314,NGC 7314,,,7314,G,True
Psa,GAL,IC5271,ESO 406-34        ,22 58.0,-33 45,11.6,2.6,0.9,IC,5271,IC 5271,IC 5271,,5271,G,True
Psc,GAL,NGC128,UGC 292         ,00 29.2,+02 52,11.8,2.8,0.9,NGC,128,NGC 128,,,128,G,True
Psc,GAL,NGC488,Whirligig galaxy,01 21.8,+05 15,10.3,5.4,3.9,NGC,488,NGC 488,,,488,G,True
Psc,GAL,NGC628,M74 PHANTOM GALAXY,01 36.7,+15 47,9.4,10.0,9.4,M,74,M 74,,M 74,74,G,True
Psc,GAL,NGC7541,UGC 12447         ,23 14.7,+04 32,11.7,3.5,1.2,NGC,7541,NGC 7541,,,7541,G,True
Pup,OC,NGC2401,OCL  508          ,07 29.4,-13 58,12.6,2.0,2.0,NGC,2401,NGC 2401,,,2401,OCl,True
Pup,OC,NGC2421,OCL  626          ,07 36.2,-20 37,8.3,8.0,8.0,NGC,2421,NGC 2421,,,2421,OCl,True
Pup,OC,NGC2422,M47,07 36.6,-14 29,4.4,25.0,25.0,M,47,M 47,,M 47,47,OCl,True
Pup,OC,Melotte71,Collinder 155            ,07 37.5,-12 03,7.1,8.0,8.0,Melotte,71,Melotte 71,,,71,OCl,True
Pup,OC,NGC2425,OCL  599          ,07 38.3,-14 53,?,3.3,3.3,NGC,2425,NGC 2425,,,2425,OCl,True
Pup,OC,NGC2439,OCL  688          ,07 40.8,-31 42,6.9,9.0,9.0,NGC,2439,NGC 2439,,,2439,OCl,True
Pup,OC,NGC2437,M46,07 41.8,-14 49,6.1,20.0,20.0,M,46,M 46,,M 46,46,OCl,True
Pup,PN,NGC2438,PK231+4.2   (in M46)     ,07 41.8,-14 44,11,1.08,1.08,NGC,2438,NGC 2438,,,2438,PN,True
Pup,PN,NGC2440,"ALBINO BUTTERFLY NEBULA,BURNING EMBER,BAT NEB.",07 41.9,-18 13,11.5,0.9,0.33,NGC,2440,NGC 2440,,,2440,PN,True
Pup,OC,NGC2447,M93,07 44.5,-23 51,6.2,10.0,10.0,M,93,M 93,,M 93,93,OCl,True
Pup,OC,NGC2451,STINGING SCORPION CLUSTER,07 45.4,-37 57,2.8,50.0,50.0,NGC,2451,NGC 2451,,,2451,OCl,True
Pup,PN,NGC2452,PK243-1.1   (in same field as 2453)     ,07 47.4,-27 20,11.9,0.5,0.4,NGC,2452,NGC 2452,,,2452,PN,True
Pup,OC,NGC2453,OCL  670          ,07 47.6,-27 12,8.3,4.0,4.0,NGC,2453,NGC 2453,,,2453,OCl,True
Pup,OC,NGC2477,TERMITE HOLE CLUSTER      ,07 52.2,-38 32,5.8,20.0,20.0,NGC,2477,NGC 2477,,,2477,OCl,True
Pup,BN+OC,NGC2467,"OC HAFFNER 18 & 19 WITHIN THE NEB.,CHAINED BROOCH NEB.,SKULL & CROSSBONES NEB.",07 52.5,-26 24,8,16.0,12.0,NGC,2467,NGC 2467,,,2467,Cl+N,True
Pup,OC,NGC2479,OCL  623          ,07 55.1,-17 42,9.6,11.0,11.0,NGC,2479,NGC 2479,,,2479,OCl,True
Pup,OC,NGC2489,OCL  690          ,07 56.3,-30 04,7.9,5.0,5.0,NGC,2489,NGC 2489,,,2489,OCl,True
Pup,OC,NGC2509,OCL  630          ,08 00.8,-19 03,9.3,12.0,12.0,NGC,2509,NGC 2509,,,2509,OCl,True
Pup,OC,NGC2533,OCL  695          ,08 07.0,-29 52,7.6,6.0,6.0,NGC,2533,NGC 2533,,,2533,OCl,True
Pup,OC,NGC2539,THE DISH CLUSTER,08 10.6,-12 49,6.5,15.0,15.0,NGC,2539,NGC 2539,,,2539,OCl,True
Pup,OC,NGC2546,HEART&DAGGER CLUSTER,08 12.4,-37 37,6.3,70.0,70.0,NGC,2546,NGC 2546,,,2546,OCl,True
Pup,OC,NGC2567,OCL  708          ,08 18.5,-30 39,7.4,11.0,11.0,NGC,2567,NGC 2567,,,2567,OCl,True
Pup,OC,NGC2588,OCL  715          ,08 23.2,-32 59,11.8,2.0,2.0,NGC,2588,NGC 2588,,,2588,OCl,True
Scl,GAL,NGC55,Dunlop 507        ,00 15.1,-39 11,7.9,31.2,5.9,NGC,55,NGC 55,,,55,G,True
Scl,GAL,NGC134,GIANT SQUID GALAXY,00 30.4,-33 15,10,8.5,1.9,NGC,134,NGC 134,,,134,G,True
Scl,GAL,NGC253,ESO 474-29/Sculptor Galaxy/SILVER COIN GAL.  ,00 47.6,-25 18,7.2,26.4,6.0,NGC,253,NGC 253,,,253,G,True
Scl,GC,NGC288,ESO 474-SC37      ,00 52.8,-26 35,8.1,13.0,13.0,NGC,288,NGC 288,,,288,GCl,True
Scl,GAL,NGC300,ESO 295-20        ,00 54.9,-37 41,8.1,19.3,13.3,NGC,300,NGC 300,,,300,G,True
Scl,GAL,NGC7793,BOND'S GALAXY,23 57.8,-32 36,9.1,9.6,6.4,NGC,7793,NGC 7793,,,7793,G,True
Sco,GC,NGC6093,M80            ,16 17.0,-22 59,7.3,5.1,5.1,M,80,M 80,,M 80,80,GCl,True
Sco,GC,NGC6121,M4 CRAB OR SPIDER GLOBULAR,16 23.6,-26 32,5.4,36.0,36.0,M,4,M 4,,M 4,4,GCl,True
Sco,GC,NGC6144,GCL  42           ,16 27.2,-26 01,9,7.4,7.4,NGC,6144,NGC 6144,,,6144,GCl,True
Sco,OC,NGC6242,OCL 1001          ,16 55.5,-39 28,6.4,9.0,9.0,NGC,6242,NGC 6242,,,6242,OCl,True
Sco,OC,NGC6281,MOTH WING CLUSTER,17 04.8,-37 53,5.4,8.0,8.0,NGC,6281,NGC 6281,,,6281,OCl,True
Sco,PN,NGC6302,BUG NEBULA/BUTTERFLY NEB.,17 13.7,-37 06,9.6,1.2,0.5,NGC,6302,NGC 6302,,,6302,PN,True
Sco,OC,NGC6383,6374,17 34.7,-32 35,5.5,20.0,20.0,NGC,6383,NGC 6383,,,6383,OCl,True
Sco,OC,NGC6404,OCL 1024          ,17 39.6,-33 14,10.6,6.0,6.0,NGC,6404,NGC 6404,,,6404,OCl,True
Sco,OC,NGC6400,PHANTOM CLUSTER,17 40.2,-36 58,8.8,12.0,12.0,NGC,6400,NGC 6400,,,6400,OCl,True
Sco,OC,NGC6405,M6 BUTTERFLY CLUSTER,17 40.3,-32 15,4.2,33.0,33.0,M,6,M 6,,M 6,6,OCl,True
Sco,OC,NGC6444,Ruprecht132            ,17 49.6,-34 49,?,12.0,12.0,NGC,6444,NGC 6444,,,6444,OCl,True
Sco,GC,NGC6441,SILVER NUGGET CLUSTER,17 50.2,-37 03,7.2,9.6,9.6,NGC,6441,NGC 6441,,,6441,GCl,True
Sco,OC,NGC6451,OCL 1035/Tom Thumb Cluster      ,17 50.7,-30 13,8.2,8.0,8.0,NGC,6451,NGC 6451,,,6451,OCl,True
Sct,OC,NGC6649,OCL   66          ,18 33.5,-10 24,8.9,6.0,6.0,NGC,6649,NGC 6649,,,6649,OCl,True
