Name,Type,RA,Dec,Const,MajAx,MinAx,V-Mag,M,NGC,IC,Common names,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number,Catalog,Name_MIKE,Name (no leading zero),Name (final),NGC/ID,Type_MIKE,Common Name,Mag,RA_MIKE,Dec_MIKE,Width ('),Height ('),IC_MIKE,IC name_MIKE,NGC_MIKE,NGC name,mike,CONST.,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG_500,MAX SZ,MIN SZ,Name catalog_500,Name number_500,Types_OpenNGC,Best_500,Notes
IC2391,OCl,08:40:31.88,-53:02:07.7,Vel,29.1,,2.5,,,,omi Vel Cluster,IC,2391,IC 2391,IC 2391,,2391.0,Caldwell,C 085,C 85,C 85,I2391,Oc,Omicron Vel Cluster,2.5,08:40:12,-53.07,50.0,50.0,2391,IC 2391,,,True,,,,,,,,,,,,,large_dso
IC2391,OCl,08:40:31.88,-53:02:07.7,Vel,29.1,,2.5,,,,omi Vel Cluster,IC,2391,IC 2391,IC 2391,,2391.0,IC,IC 2391,IC 2391,IC 2391 = C 85,I2391,OC,,2,08:40:12,-52.93,50.0,50.0,2391,IC 2391,,,True,,,,,,,,,,,,,large_dso
IC2599,HII,10:37:27.09,-58:44:00.2,Car,20.0,20.0,,,,,,IC,2599,IC 2599,IC 2599,,2599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
IC2602,OCl,10:42:57.47,-64:23:39.1,Car,48.0,,,,,,tet Car Cluster,IC,2602,IC 2602,IC 2602,,2602.0,Caldwell,C 102,C 102,C 102,I2602,Oc,Theta Car Cluster,1.9,10:43:12,-64.4,50.0,50.0,2602,IC 2602,,,True,,,,,,,,,,,,,large_dso
IC2602,OCl,10:42:57.47,-64:23:39.1,Car,48.0,,,,,,tet Car Cluster,IC,2602,IC 2602,IC 2602,,2602.0,IC,IC 2602,IC 2602,IC 2602  = C 102,I2602,OC,Southern Pleiades,1,10:43:12,-63.6,50.0,50.0,2602,IC 2602,,,True,,,,,,,,,,,,,large_dso
IC2872,Neb,11:28:08.03,-62:59:20.2,Cen,15.14,6.03,,,,,,IC,2872,IC 2872,IC 2872,,2872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
IC2944,Cl+N,11:35:46.93,-63:01:11.4,Cen,7.2,,,,,,lam Cen Nebula,IC,2944,IC 2944,IC 2944,,2944.0,IC,IC 2944,IC 2944,IC 2944 = C 100,I2944,C+N,lambda Cen nebula,4,11:36:36,-62.97,75.0,75.0,2944,IC 2944,,,True,,,,,,,,,,,,,large_dso
IC2948,Cl+N,11:39:05.94,-63:26:37.9,Cen,6.0,,,,,,,IC,2948,IC 2948,IC 2948,,2948.0,IC,IC 2948,IC 2948,IC 2948,I2948,Nb,lambda Cen nebula,,11:38:48,-62.47,60.0,60.0,2948,IC 2948,,,True,,,,,,,,,,,,,large_dso
IC0341,Neb,03:40:55.69,+21:57:36.7,Tau,134.9,,,,,,,IC,0341,IC 341,IC 341,,341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
IC0342,G,03:46:48.50,+68:05:46.9,Cam,19.77,18.79,,,,,,IC,0342,IC 342,IC 342,,342.0,Caldwell,C 005,C 5,C 5,I342,Sp,,9.2,03:46:48,68.1,18.0,17.0,342,IC 342,,,True,,,,,,,,,,,,,large_dso
IC0349,RfN,03:46:20.11,+23:56:23.3,Tau,25.7,,,,,,Barnard's Merope Nebula,IC,0349,IC 349,IC 349,,349.0,,,,,,,,,,,,,,,,,,Tau,IC349,Van den Bergh 22   in Pleiades         ,03 46.3,+23 56,?,30.0,30.0,IC,349.0,Neb,True,large_dso
IC0353,Neb,03:53:01.07,+25:50:52.8,Tau,181.97,30.2,,,,,,IC,0353,IC 353,IC 353,,353.0,IC,IC  353,IC 353,IC 353,I 353,Nb,,,03:55:00,25.48,180.0,180.0, 353,IC 353,,,True,,,,,,,,,,,,,large_dso
IC0354,Neb,03:53:57.91,+23:08:49.2,Tau,128.82,,,,,,,IC,0354,IC 354,IC 354,,354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
IC0359A,RfN,04:18:41.00,+28:17:24.0,Tau,15.0,10.0,,,,,,IC,0359A,IC 359A,IC 359A,,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
IC0360,Neb,04:09:02.57,+26:07:52.3,Tau,180.0,100.0,,,,,,IC,0360,IC 360,IC 360,,360.0,IC,IC  360,IC 360,IC 360,I 360,Nb,,,04:13:00,25.63,180.0,180.0, 360,IC 360,,,True,,,,,,,,,,,,,large_dso
IC0405,Neb,05:16:29.48,+34:21:22.2,Aur,50.0,30.0,,,,,Flaming Star Nebula,IC,0405,IC 405,IC 405,,405.0,Caldwell,C 031,C 31,C 31,I405,Bn,Flaming Star Nebula,6,05:16:12,34.27,30.0,19.0,405,IC 405,,,True,,,,,,,,,,,,,large_dso
IC0405,Neb,05:16:29.48,+34:21:22.2,Aur,50.0,30.0,,,,,Flaming Star Nebula,IC,0405,IC 405,IC 405,,405.0,IC,IC  405,IC 405,IC 405 = C 31,I 405,Nb,Flaming Star nebula,,05:16:12,34.27,30.0,30.0, 405,IC 405,,,True,,,,,,,,,,,,,large_dso
IC0410,Neb,05:22:42.00,+33:22:00.0,Aur,40.0,30.0,,,,,,IC,0410,IC 410,IC 410,,410.0,IC,IC  410,IC 410,IC 410,I 410,C+N,,,05:22:36,33.52,40.0,40.0, 410,IC 410,,,True,Aur,IC410,1893,05 22.7,+33 25,7.5,30.0,30.0,IC,410.0,Neb,True,large_dso
IC0434,HII,05:41:00.88,-02:27:13.6,Ori,90.0,30.0,,,,,"Flame Nebula,Orion B",IC,0434,IC 434,IC 434,,434.0,IC,IC  434,IC 434,IC 434,I 434,Nb,Horsehead nebula,,05:41:00,-1.6,60.0,60.0, 434,IC 434,,,True,,,,,,,,,,,,,large_dso
IC0443,SNR,06:16:37.41,+22:31:54.0,Gem,50.0,40.0,,,,,Gem A,IC,0443,IC 443,IC 443,,443.0,IC,IC  443,IC 443,IC 443,I 443,Nb,,,06:16:54,22.78,50.0,50.0, 443,IC 443,,,True,,,,,,,,,,,,,large_dso
IC0447,HII,06:31:00.32,+09:53:50.8,Mon,25.0,20.0,,,,2169,,IC,0447,IC 447,IC 447,,447.0,IC,IC 2169,IC 447,IC 2169,I0447,Nb,,,06:31:12,9.9,25.0,25.0,0447,IC 0447,,,True,,,,,,,,,,,,,large_dso
IC0448,HII,06:32:45.34,+07:23:19.1,Mon,15.0,10.0,,,,,,IC,0448,IC 448,IC 448,,448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
IC4592,RfN,16:11:58.67,-19:27:16.8,Sco,60.0,40.0,,,,,,IC,4592,IC 4592,IC 4592,,4592.0,IC,IC 4592,IC 4592,IC 4592,I4592,Nb,,,16:12:00,-18.53,150.0,150.0,4592,IC 4592,,,True,,,,,,,,,,,,,large_dso
IC4601,Neb,16:20:17.80,-20:05:14.3,Sco,20.0,10.0,,,,,,IC,4601,IC 4601,IC 4601,,4601.0,IC,IC 4601,IC 4601,IC 4601,I4601,Nb,,,16:20:00,-19.97,20.0,20.0,4601,IC 4601,,,True,,,,,,,,,,,,,large_dso
IC4603,Neb,16:25:24.48,-24:28:06.1,Oph,20.0,5.0,,,,,,IC,4603,IC 4603,IC 4603,,4603.0,IC,IC 4603,IC 4603,IC 4603,I4603,Nb,,,16:25:36,-23.53,20.0,20.0,4603,IC 4603,,,True,,,,,,,,,,,,,large_dso
IC4604,Neb,16:25:31.17,-23:26:11.7,Oph,60.0,25.0,,,,,rho Oph Nebula,IC,4604,IC 4604,IC 4604,,4604.0,IC,IC 4604,IC 4604,IC 4604,I4604,Nb,rho Oph nebula,,16:25:36,-22.57,60.0,60.0,4604,IC 4604,,,True,,,,,,,,,,,,,large_dso
IC4605,Neb,16:30:12.48,-25:06:54.6,Sco,30.0,15.0,,,,,,IC,4605,IC 4605,IC 4605,,4605.0,IC,IC 4605,IC 4605,IC 4605,I4605,Nb,,,16:30:12,-24.9,30.0,30.0,4605,IC 4605,,,True,,,,,,,,,,,,,large_dso
IC4628,Neb,16:56:58.43,-40:27:03.5,Sco,89.13,58.88,,,,,,IC,4628,IC 4628,IC 4628,,4628.0,IC,IC 4628,IC 4628,IC 4628,I4628,Nb,,,16:57:00,-39.67,90.0,90.0,4628,IC 4628,,,True,,,,,,,,,,,,,large_dso
IC4665,OCl,17:46:27.18,+05:38:55.4,Oph,24.6,,4.2,,,,,IC,4665,IC 4665,IC 4665,,4665.0,IC,IC 4665,IC 4665,IC 4665,I4665,OC,,4,17:46:18,5.72,41.0,41.0,4665,IC 4665,,,True,Oph,IC4665,Poseidon'd Trident,17 46.2,+05 43,4.2,70.0,70.0,IC,4665.0,OCl,True,large_dso
IC0468,Other,07:17:19.00,-13:13:07.3,CMa,,,,,,,,IC,0468,IC 468,IC 468,,468.0,IC,IC  468,IC 468,IC 468,I 468,Nb,,,07:17:30,-12.85,20.0,20.0, 468,IC 468,,,True,,,,,,,,,,,,,large_dso
IC4685,Neb,18:09:17.50,-23:59:14.1,Sgr,15.0,10.0,,,,,,IC,4685,IC 4685,IC 4685,,4685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
IC4701,Neb,18:16:35.74,-16:38:53.8,Sgr,60.0,40.0,,,,,,IC,4701,IC 4701,IC 4701,,4701.0,IC,IC 4701,IC 4701,IC 4701,I4701,Nb,,,18:16:30,-15.27,60.0,60.0,4701,IC 4701,,,True,,,,,,,,,,,,,large_dso
IC4756,OCl,18:38:51.51,+05:27:43.8,Se2,24.0,,4.6,,,,,IC,4756,IC 4756,IC 4756,,4756.0,IC,IC 4756,IC 4756,IC 4756,I4756,OC,,5,18:39:00,5.45,52.0,52.0,4756,IC 4756,,,True,Ser,IC4756,TWEEDLEDEE CLUSTER,18 38.9,+05 26,4.6,40.0,40.0,IC,4756.0,OCl,True,large_dso
IC4954,HII,20:04:45.02,+29:15:10.1,Vul,3.0,1.0,,,,,,IC,4954,IC 4954,IC 4954,,4954.0,IC,IC 4954,IC 4954,IC 4954,I4954,Nb,,,20:04:48,29.25,25.0,25.0,4954,IC 4954,,,True,,,,,,,,,,,,,large_dso
IC5068,HII,20:50:29.76,+42:28:39.7,Cyg,40.0,30.0,,,,,,IC,5068,IC 5068,IC 5068,,5068.0,IC,IC 5068,IC 5068,IC 5068,I5068,Nb,,,20:50:48,42.52,80.0,80.0,5068,IC 5068,,,True,,,,,,,,,,,,,large_dso
IC5070,HII,20:51:00.72,+44:24:05.4,Cyg,60.0,50.0,,,,,Pelican Nebula,IC,5070,IC 5070,IC 5070,,5070.0,IC,IC 5070,IC 5070,IC 5070,I5070,Nb,Pelican nebula,,20:50:48,44.35,80.0,80.0,5070,IC 5070,,,True,,,,,,,,,,,,,large_dso
