Catalogue Entry,Alternative Entries,Familiar Name,Right Ascension,Declination,Major Axis,Minor Axis,Magnitude,Name catalog,Name number,Type,Type Category,Constellation,Width ('),Height ('),Notes
HIP 32349,"HD 48915, HR 2491",Sirius,06:45:08.93,-16:42:58.02,,,-1.44,HIP,32349,Star,stars,Canis Major,,,bright_named_stars
HIP 30438,"HD 45348, HR 2326",Canopus,06:23:57.10,-52:41:44.38,,,-0.62,HIP,30438,Star,stars,Carina,,,bright_named_stars
HIP 69673,"HD 124897, HR 5340",Arcturus,14:15:39.71,+19:10:56.68,,,-0.05,HIP,69673,Star,stars,Boötes,,,bright_named_stars
HIP 71683,"HD 128620, HR 5459",Rigil Kentaurus,14:39:38.75,-60:50:02.31,,,-0.01,HIP,71683,Star,stars,Centaurus,,,bright_named_stars
HIP 91262,"HD 172167, HR 7001",Vega,18:36:56.30,+38:47:01.29,,,0.03,HIP,91262,Star,stars,Lyra,,,bright_named_stars
HIP 24608,"HD 34029, HR 1708",Capella,05:16:41.34,+45:59:52.77,,,0.08,HIP,24608,Star,stars,Auriga,,,bright_named_stars
HIP 24436,"HD 34085, HR 1713",Rigel,05:14:32.27,-08:12:05.90,,,0.18,HIP,24436,Star,stars,Orion,,,bright_named_stars
HIP 37279,"HD 61421, HR 2943",Procyon,07:39:18.12,+05:13:29.97,,,0.4,HIP,37279,Star,stars,Canis Minor,,,bright_named_stars
HIP 7588,"HD 10144, HR 472",Achernar,01:37:42.80,-57:14:12.33,,,0.45,HIP,7588,Star,stars,Eridanus,,,bright_named_stars
HIP 27989,"HD 39801, HR 2061",Betelgeuse,05:55:10.30,+07:24:25.43,,,0.45,HIP,27989,Star,stars,Orion,,,bright_named_stars
HIP 68702,"HD 122451, HR 5267",Hadar,14:03:49.42,-60:22:22.94,,,0.61,HIP,68702,Star,stars,Centaurus,,,bright_named_stars
HIP 97649,"HD 187642, HR 7557",Altair,19:50:47.00,+08:52:05.96,,,0.76,HIP,97649,Star,stars,Aquila,,,bright_named_stars
HIP 60718,"HD 108248, HR 4730",Acrux,12:26:35.92,-63:05:56.73,,,0.77,HIP,60718,Star,stars,Crux,,,bright_named_stars
HIP 21421,"HD 29139, HR 1457",Aldebaran,04:35:55.24,+16:30:33.48,,,0.87,HIP,21421,Star,stars,Taurus,,,bright_named_stars
HIP 65474,"HD 116658, HR 5056",Spica,13:25:11.58,-11:09:40.76,,,0.98,HIP,65474,Star,stars,Virgo,,,bright_named_stars
HIP 80763,"HD 148478, HR 6134",Antares,16:29:24.46,-26:25:55.21,,,1.06,HIP,80763,Star,stars,Scorpius,,,bright_named_stars
HIP 37826,"HD 62509, HR 2990",Pollux,07:45:19.00,+28:01:34.32,,,1.16,HIP,37826,Star,stars,Gemini,,,bright_named_stars
HIP 113368,"HD 216956, HR 8728",Fomalhaut,22:57:39.02,-29:37:20.05,,,1.17,HIP,113368,Star,stars,Piscis Austrinus,,,bright_named_stars
HIP 62434,"HD 111123, HR 4853",Mimosa,12:47:43.29,-59:41:19.55,,,1.25,HIP,62434,Star,stars,Crux,,,bright_named_stars
HIP 102098,"HD 197345, HR 7924",Deneb,20:41:25.92,+45:16:49.22,,,1.25,HIP,102098,Star,stars,Cygnus,,,bright_named_stars
HIP 71681,"HD 128621, HR 5460",Toliman,14:39:37.25,-60:50:17.88,,,1.35,HIP,71681,Star,stars,Centaurus,,,bright_named_stars
HIP 49669,"HD 87901, HR 3982",Regulus,10:08:22.32,+11:58:01.95,,,1.36,HIP,49669,Star,stars,Leo,,,bright_named_stars
HIP 33579,"HD 52089, HR 2618",Adhara,06:58:37.55,-28:58:19.50,,,1.5,HIP,33579,Star,stars,Canis Major,,,bright_named_stars
HIP 36850,"HD 60179, HR 2891",Castor,07:34:35.88,+31:53:17.79,,,1.58,HIP,36850,Star,stars,Gemini,,,bright_named_stars
HIP 61084,"HD 108903, HR 4763",Gacrux,12:31:09.94,-57:06:47.56,,,1.59,HIP,61084,Star,stars,Crux,,,bright_named_stars
HIP 85927,"HD 158926, HR 6527",Shaula,17:33:36.52,-37:06:13.76,,,1.62,HIP,85927,Star,stars,Scorpius,,,bright_named_stars
HIP 25336,"HD 35468, HR 1790",Bellatrix,05:25:07.86,+06:20:58.93,,,1.64,HIP,25336,Star,stars,Orion,,,bright_named_stars
HIP 25428,"HD 35497, HR 1791",Elnath,05:26:17.51,+28:36:26.82,,,1.65,HIP,25428,Star,stars,Taurus,,,bright_named_stars
HIP 45238,"HD 80007, HR 3685",Miaplacidus,09:13:12.15,-69:43:01.95,,,1.67,HIP,45238,Star,stars,Carina,,,bright_named_stars
HIP 26311,"HD 37128, HR 1903",Alnilam,05:36:12.81,-01:12:06.91,,,1.69,HIP,26311,Star,stars,Orion,,,bright_named_stars
HIP 109268,"HD 209952, HR 8425",Alnair,22:08:13.95,-46:57:39.51,,,1.73,HIP,109268,Star,stars,Grus,,,bright_named_stars
HIP 26727,"HD 37742, HR 1948",Alnitak,05:40:45.53,-01:56:33.26,,,1.74,HIP,26727,Star,stars,Orion,,,bright_named_stars
HIP 62956,"HD 112185, HR 4905",Alioth,12:54:01.70,+55:57:35.36,,,1.76,HIP,62956,Star,stars,Ursa Major,,,bright_named_stars
HIP 15863,"HD 20902, HR 1017",Mirfak,03:24:19.36,+49:51:40.25,,,1.79,HIP,15863,Star,stars,Perseus,,,bright_named_stars
HIP 90185,"HD 169022, HR 6879",Kaus Australis,18:24:10.32,-34:23:04.62,,,1.79,HIP,90185,Star,stars,Sagittarius,,,bright_named_stars
HIP 54061,"HD 95689, HR 4301",Dubhe,11:03:43.76,+61:45:03.72,,,1.81,HIP,54061,Star,stars,Ursa Major,,,bright_named_stars
HIP 34444,"HD 54605, HR 2693",Wezen,07:08:23.49,-26:23:35.52,,,1.83,HIP,34444,Star,stars,Canis Major,,,bright_named_stars
HIP 67301,"HD 120315, HR 5191",Alkaid,13:47:32.47,+49:18:47.75,,,1.85,HIP,67301,Star,stars,Ursa Major,,,bright_named_stars
HIP 41037,"HD 71129, HR 3307",Avior,08:22:30.85,-59:30:34.14,,,1.86,HIP,41037,Star,stars,Carina,,,bright_named_stars
HIP 86228,"HD 159532, HR 6553",Sargas,17:37:19.13,-42:59:52.17,,,1.86,HIP,86228,Star,stars,Scorpius,,,bright_named_stars
HIP 28360,"HD 40183, HR 2088",Menkalinan,05:59:31.74,+44:56:50.76,,,1.9,HIP,28360,Star,stars,Auriga,,,bright_named_stars
HIP 82273,"HD 150798, HR 6217",Atria,16:48:39.88,-69:01:39.77,,,1.91,HIP,82273,Star,stars,Triangulum Australe,,,bright_named_stars
HIP 31681,"HD 47105, HR 2421",Alhena,06:37:42.70,+16:23:57.31,,,1.93,HIP,31681,Star,stars,Gemini,,,bright_named_stars
HIP 42913,"HD 74956, HR 3485",Alsephina,08:44:42.21,-54:42:31.76,,,1.93,HIP,42913,Star,stars,Vela,,,bright_named_stars
HIP 100751,"HD 193924, HR 7790",Peacock,20:25:38.85,-56:44:06.32,,,1.94,HIP,100751,Star,stars,Pavo,,,bright_named_stars
HIP 11767,"HD 8890, HR 424",Polaris,02:31:47.10,+89:15:50.79,,,1.97,HIP,11767,Star,stars,Ursa Minor,,,bright_named_stars
HIP 30324,"HD 44743, HR 2294",Mirzam,06:22:41.98,-17:57:21.30,,,1.98,HIP,30324,Star,stars,Canis Major,,,bright_named_stars
HIP 46390,"HD 81797, HR 3748",Alphard,09:27:35.24,-08:39:30.97,,,1.99,HIP,46390,Star,stars,Hydra,,,bright_named_stars
HIP 50583,"HD 89484, HR 4057",Algieba,10:19:58.34,+19:50:29.36,,,2.01,HIP,50583,Star,stars,Leo,,,bright_named_stars
HIP 9884,"HD 12929, HR 617",Hamal,02:07:10.40,+23:27:44.72,,,2.01,HIP,9884,Star,stars,Aries,,,bright_named_stars
HIP 3419,"HD 4128, HR 188",Diphda,00:43:35.36,-17:59:11.78,,,2.04,HIP,3419,Star,stars,Cetus,,,bright_named_stars
HIP 92855,"HD 175191, HR 7121",Nunki,18:55:15.92,-26:17:48.20,,,2.05,HIP,92855,Star,stars,Sagittarius,,,bright_named_stars
HIP 68933,"HD 123139, HR 5288",Menkent,14:06:41.02,-36:22:11.83,,,2.06,HIP,68933,Star,stars,Centaurus,,,bright_named_stars
HIP 112122,"HD 214952, HR 8636",Tiaki,22:42:40.01,-46:53:04.48,,,2.07,HIP,112122,Star,stars,Grus,,,bright_named_stars
HIP 677,"HD 358, HR 15",Alpheratz,00:08:23.25,+29:05:25.56,,,2.07,HIP,677,Star,stars,Andromeda,,,bright_named_stars
HIP 72607,"HD 131873, HR 5563",Kochab,14:50:42.38,+74:09:19.82,,,2.07,HIP,72607,Star,stars,Ursa Minor,,,bright_named_stars
HIP 27366,"HD 38771, HR 2004",Saiph,05:47:45.39,-09:40:10.58,,,2.07,HIP,27366,Star,stars,Orion,,,bright_named_stars
HIP 5447,"HD 6860, HR 337",Mirach,01:09:43.90,+35:37:14.01,,,2.07,HIP,5447,Star,stars,Andromeda,,,bright_named_stars
HIP 86032,"HD 159561, HR 6556",Rasalhague,17:34:56.07,+12:33:36.13,,,2.08,HIP,86032,Star,stars,Ophiuchus,,,bright_named_stars
HIP 14576,"HD 19356, HR 936",Algol,03:08:10.13,+40:57:20.33,,,2.09,HIP,14576,Star,stars,Perseus,,,bright_named_stars
HIP 9640,"HD 12533, HR 603",Almach,02:03:53.94,+42:19:47.01,,,2.1,HIP,9640,Star,stars,Andromeda,,,bright_named_stars
HIP 4427,"HD 5394, HR 264",Cih,00:56:42.51,+60:43:00.26,,,2.15,HIP,4427,Star,stars,Cassiopeia,,,bright_named_stars
HIP 39429,"HD 66811, HR 3165",Naos,08:03:35.05,-40:00:11.33,,,2.21,HIP,39429,Star,stars,Puppis,,,bright_named_stars
HIP 76267,"HD 139006, HR 5793",Alphecca,15:34:41.26,+26:42:52.89,,,2.22,HIP,76267,Star,stars,Corona Borealis,,,bright_named_stars
HIP 87833,"HD 164058, HR 6705",Eltanin,17:56:36.37,+51:29:20.02,,,2.24,HIP,87833,Star,stars,Draco,,,bright_named_stars
HIP 71860,"HD 129056, HR 5469",,14:41:55.76,-47:23:17.52,,,2.3,HIP,71860,Star,stars,Lupus,,,bright_named_stars
HIP 107315,"HD 206778, HR 8308",Enif,21:44:11.16,+09:52:30.04,,,2.38,HIP,107315,Star,stars,Pegasus,,,bright_named_stars
HIP 2081,"HD 2261, HR 99",Ankaa,00:26:17.00,-42:18:21.53,,,2.4,HIP,2081,Star,stars,Phoenix,,,bright_named_stars
HIP 105199,"HD 203280, HR 8162",Alderamin,21:18:34.67,+62:35:08.06,,,2.45,HIP,105199,Star,stars,Cepheus,,,bright_named_stars
HIP 59803,"HD 106625, HR 4662",Gienah,12:15:48.37,-17:32:30.94,,,2.58,HIP,59803,Star,stars,Corvus,,,bright_named_stars
HIP 25985,"HD 36673, HR 1865",Arneb,05:32:43.81,-17:49:20.24,,,2.58,HIP,25985,Star,stars,Lepus,,,bright_named_stars
HIP 74785,"HD 135742, HR 5685",Zubeneschamali,15:17:00.42,-09:22:58.50,,,2.61,HIP,74785,Star,stars,Libra,,,bright_named_stars
HIP 77070,"HD 140573, HR 5854",Unukalhai,15:44:16.07,+06:25:32.26,,,2.63,HIP,77070,Star,stars,Serpens[12],,,bright_named_stars
HIP 26634,"HD 37795, HR 1956",Phact,05:39:38.94,-34:04:26.79,,,2.65,HIP,26634,Star,stars,Columba,,,bright_named_stars
HIP 61585,"HD 109668, HR 4798",,12:37:11.06,-69:08:08.03,,,2.69,HIP,61585,Star,stars,Musca,,,bright_named_stars
HIP 80816,"HD 148856, HR 6148",Kornephoros,16:30:13.20,+21:29:22.61,,,2.78,HIP,80816,Star,stars,Hercules,,,bright_named_stars
HIP 2021,"HD 2151, HR 98",,00:25:40.50,-77:15:15.29,,,2.82,HIP,2021,Star,stars,Hydrus,,,bright_named_stars
HIP 85258,"HD 157244, HR 6461",,17:25:17.99,-55:31:47.58,,,2.84,HIP,85258,Star,stars,Ara,,,bright_named_stars
HIP 107556,"HD 207098, HR 8322",Deneb Algedi,21:47:02.44,-16:07:38.23,,,2.85,HIP,107556,Star,stars,Capricornus,,,bright_named_stars
HIP 110130,"HD 211416, HR 8502",,22:18:30.14,-60:15:34.51,,,2.87,HIP,110130,Star,stars,Tucana,,,bright_named_stars
HIP 63125,"HD 112413, HR 4915",Cor Caroli,12:56:01.71,+38:19:06.17,,,2.89,HIP,63125,Star,stars,Canes Venatici,,,bright_named_stars
HIP 106278,"HD 204867, HR 8232",Sadalsuud,21:31:33.54,-05:34:16.22,,,2.9,HIP,106278,Star,stars,Aquarius,,,bright_named_stars
HIP 10064,"HD 13161, HR 622",,02:09:32.61,+34:59:14.27,,,3.0,HIP,10064,Star,stars,Triangulum,,,bright_named_stars
HIP 101772,"HD 196171, HR 7869",,20:37:34.02,-47:17:29.41,,,3.11,HIP,101772,Star,stars,Indus,,,bright_named_stars
HIP 45860,"HD 80493, HR 3705",,09:21:03.33,+34:23:33.22,,,3.14,HIP,45860,Star,stars,Lynx,,,bright_named_stars
HIP 71908,"HD 128898, HR 5463",,14:42:30.57,-64:58:30.50,,,3.18,HIP,71908,Star,stars,Circinus,,,bright_named_stars
HIP 32607,"HD 50241, HR 2550",,06:48:11.50,-61:56:29.01,,,3.24,HIP,32607,Star,stars,Pictor,,,bright_named_stars
HIP 21281,"HD 29305, HR 1465",,04:33:59.75,-55:02:41.91,,,3.3,HIP,21281,Star,stars,Dorado,,,bright_named_stars
HIP 19780,"HD 27256, HR 1336",,04:14:25.45,-62:28:25.89,,,3.33,HIP,19780,Star,stars,Reticulum,,,bright_named_stars
HIP 90422,"HD 169467, HR 6897",,18:26:58.42,-45:58:06.45,,,3.49,HIP,90422,Star,stars,Telescopium,,,bright_named_stars
HIP 98337,"HD 189319, HR 7635",,19:58:45.43,+19:29:31.73,,,3.51,HIP,98337,Star,stars,Sagitta,,,bright_named_stars
HIP 40526,"HD 69267, HR 3249",Tarf,08:16:30.92,+09:11:07.96,,,3.53,HIP,40526,Star,stars,Cancer,,,bright_named_stars
HIP 55282,"HD 98430, HR 4382",,11:19:20.45,-14:46:42.75,,,3.56,HIP,55282,Star,stars,Crater,,,bright_named_stars
HIP 7097,"HD 9270, HR 437",Alpherg,01:31:29.01,+15:20:44.96,,,3.62,HIP,7097,Star,stars,Pisces,,,bright_named_stars
HIP 101769,"HD 196524, HR 7882",Rotanev,20:37:32.94,+14:35:42.31,,,3.64,HIP,101769,Star,stars,Delphinus,,,bright_named_stars
HIP 42828,"HD 74575, HR 3468",,08:43:35.54,-33:11:10.99,,,3.68,HIP,42828,Star,stars,Pyxis,,,bright_named_stars
HIP 107089,"HD 205478, HR 8254",,21:41:28.51,-77:23:24.17,,,3.73,HIP,107089,Star,stars,Octans,,,bright_named_stars
HIP 111169,"HD 213558, HR 8585",,22:31:17.45,+50:16:56.97,,,3.76,HIP,111169,Star,stars,Lacerta,,,bright_named_stars
HIP 30867,"HD 45725, HR 2356",,06:28:49.07,-07:01:59.02,,,3.76,HIP,30867,Star,stars,Monoceros,,,bright_named_stars
HIP 41312,"HD 71878, HR 3347",,08:25:44.22,-66:08:12.80,,,3.77,HIP,41312,Star,stars,Volans,,,bright_named_stars
HIP 53229,"HD 94264, HR 4247",Praecipua,10:53:18.69,+34:12:53.54,,,3.79,HIP,53229,Star,stars,Leo Minor,,,bright_named_stars
HIP 14879,"HD 20010, HR 963",Dalim,03:12:04.50,-28:59:15.42,,,3.8,HIP,14879,Star,stars,Fornax,,,bright_named_stars
HIP 72370,"HD 129078, HR 5470",,14:47:51.72,-79:02:41.10,,,3.83,HIP,72370,Star,stars,Apus,,,bright_named_stars
HIP 19747,"HD 26967, HR 1326",,04:14:00.11,-42:17:39.72,,,3.85,HIP,19747,Star,stars,Horologium,,,bright_named_stars
HIP 91117,"HD 171443, HR 6973",,18:35:12.43,-08:14:38.66,,,3.85,HIP,91117,Star,stars,Scutum,,,bright_named_stars
HIP 104987,"HD 202447, HR 8131",Kitalpha,21:15:49.43,+05:14:52.24,,,3.92,HIP,104987,Star,stars,Equuleus,,,bright_named_stars
HIP 80000,"HD 146686, HR 6072",,16:19:50.47,-50:09:19.83,,,4.01,HIP,80000,Star,stars,Norma,,,bright_named_stars
HIP 23522,"HD 31910, HR 1603",,05:03:25.09,+60:26:32.08,,,4.03,HIP,23522,Star,stars,Camelopardalis,,,bright_named_stars
HIP 40702,"HD 71243, HR 3318",,08:18:31.33,-76:55:11.00,,,4.05,HIP,40702,Star,stars,Chamaeleon,,,bright_named_stars
HIP 94160,"HD 178345, HR 7259",,19:10:01.75,-39:20:26.87,,,4.1,HIP,94160,Star,stars,Corona Australis,,,bright_named_stars
HIP 64394,"HD 114710, HR 4983",,13:11:52.45,+27:52:41.46,,,4.23,HIP,64394,Star,stars,Coma Berenices,,,bright_named_stars
HIP 51172,"HD 90610, HR 4104",,10:27:09.11,-31:04:04.00,,,4.28,HIP,51172,Star,stars,Antlia,,,bright_named_stars
HIP 4577,"HD 5737, HR 280",,00:58:36.36,-29:21:26.82,,,4.3,HIP,4577,Star,stars,Sculptor,,,bright_named_stars
HIP 21770,"HD 29875, HR 1502",,04:40:33.74,-41:51:49.51,,,4.44,HIP,21770,Star,stars,Caelum,,,bright_named_stars
HIP 95771,"HD 183439, HR 7405",Anser,19:28:42.34,+24:39:53.66,,,4.44,HIP,95771,Star,stars,Vulpecula,,,bright_named_stars
HIP 49641,"HD 87887, HR 3981",,10:07:56.28,-00:22:17.89,,,4.48,HIP,49641,Star,stars,Sextans,,,bright_named_stars
HIP 103738,"HD 199951, HR 8039",,21:01:17.46,-32:15:27.96,,,4.67,HIP,103738,Star,stars,Microscopium,,,bright_named_stars
HIP 29271,"HD 43834, HR 2261",,06:10:14.28,-74:45:10.96,,,5.08,HIP,29271,Star,stars,Mensa,,,bright_named_stars
